Cpus_allowed_list (per task):
21250 Cpus_allowed_list:	0
21251 Cpus_allowed_list:	0-95
21252 Cpus_allowed_list:	0-95
21253 Cpus_allowed_list:	0-95
21254 Cpus_allowed_list:	0-95
21255 Cpus_allowed_list:	0-95
21256 Cpus_allowed_list:	0-95
21257 Cpus_allowed_list:	0-95
21258 Cpus_allowed_list:	0-95
21259 Cpus_allowed_list:	0-95
21260 Cpus_allowed_list:	0-95
21261 Cpus_allowed_list:	0-95
21262 Cpus_allowed_list:	0-95
21263 Cpus_allowed_list:	0-95
21264 Cpus_allowed_list:	0-95
21265 Cpus_allowed_list:	0-95
21266 Cpus_allowed_list:	0-95
21267 Cpus_allowed_list:	0-95
21268 Cpus_allowed_list:	0-95
21269 Cpus_allowed_list:	0-95
21270 Cpus_allowed_list:	0-95
21271 Cpus_allowed_list:	0-95
21272 Cpus_allowed_list:	0-95
21273 Cpus_allowed_list:	0-95
21274 Cpus_allowed_list:	0-95
21275 Cpus_allowed_list:	0-95
21276 Cpus_allowed_list:	0-95
21277 Cpus_allowed_list:	0-95
21278 Cpus_allowed_list:	0-95
21279 Cpus_allowed_list:	0-95
21280 Cpus_allowed_list:	0-95
21281 Cpus_allowed_list:	0-95
21282 Cpus_allowed_list:	0-95
21283 Cpus_allowed_list:	0-95
21284 Cpus_allowed_list:	0-95
21285 Cpus_allowed_list:	0-95
21286 Cpus_allowed_list:	0-95
21287 Cpus_allowed_list:	0-95
21288 Cpus_allowed_list:	0-95
21289 Cpus_allowed_list:	0-95
21290 Cpus_allowed_list:	0-95
21291 Cpus_allowed_list:	0-95
21292 Cpus_allowed_list:	0-95
21293 Cpus_allowed_list:	0-95
21294 Cpus_allowed_list:	0-95
21295 Cpus_allowed_list:	0-95
21296 Cpus_allowed_list:	0-95
21297 Cpus_allowed_list:	0-95
21298 Cpus_allowed_list:	0-95
21299 Cpus_allowed_list:	0-95
21300 Cpus_allowed_list:	0-95
21301 Cpus_allowed_list:	0-95
21302 Cpus_allowed_list:	0-95
21303 Cpus_allowed_list:	0-95
21304 Cpus_allowed_list:	0-95
21305 Cpus_allowed_list:	0-95
21306 Cpus_allowed_list:	0-95
21307 Cpus_allowed_list:	0-95
21308 Cpus_allowed_list:	0-95
21309 Cpus_allowed_list:	0-95
21310 Cpus_allowed_list:	0-95
21311 Cpus_allowed_list:	0-95
21312 Cpus_allowed_list:	0-95
21313 Cpus_allowed_list:	0-95
21385 Cpus_allowed_list:	0-95
21449 Cpus_allowed_list:	0-95
21450 Cpus_allowed_list:	0-95
21451 Cpus_allowed_list:	0-95
21452 Cpus_allowed_list:	0-95
21453 Cpus_allowed_list:	0-95
21454 Cpus_allowed_list:	0-95
21455 Cpus_allowed_list:	0-95
21456 Cpus_allowed_list:	0-95
21457 Cpus_allowed_list:	0-95
21458 Cpus_allowed_list:	0-95
21459 Cpus_allowed_list:	0-95
21460 Cpus_allowed_list:	0-95
21461 Cpus_allowed_list:	0-95
21462 Cpus_allowed_list:	0-95
21463 Cpus_allowed_list:	0-95
21464 Cpus_allowed_list:	0-95
21465 Cpus_allowed_list:	0-95
21466 Cpus_allowed_list:	0-95
21467 Cpus_allowed_list:	0-95
21468 Cpus_allowed_list:	0-95
21469 Cpus_allowed_list:	0-95
21470 Cpus_allowed_list:	0-95
21471 Cpus_allowed_list:	0-95
21472 Cpus_allowed_list:	0-95
21473 Cpus_allowed_list:	0-95
21474 Cpus_allowed_list:	0-95
21475 Cpus_allowed_list:	0-95
21476 Cpus_allowed_list:	0-95
21477 Cpus_allowed_list:	0-95
21478 Cpus_allowed_list:	0-95
21479 Cpus_allowed_list:	0-95
21480 Cpus_allowed_list:	0-95
21481 Cpus_allowed_list:	0-95
21482 Cpus_allowed_list:	0-95
21483 Cpus_allowed_list:	0-95
