[build] workload=sonnet n=500 target_in=1024 ...
[build] done. sample avg input tokens (first 20) = 1461
=== vanilla × sonnet ===
{
  "scenario": "vanilla",
  "workload": "sonnet",
  "num_prompts": 500,
  "n_ok": 500,
  "target_input_len": 1024,
  "max_tokens": 2048,
  "concurrency": 64,
  "wall_total_s": 48.54218186088838,
  "total_input_tokens": 728262,
  "total_output_tokens": 1024000,
  "output_tps": 21095.05507878833,
  "req_per_s": 10.300319862689614,
  "p50_ms": 6089.093918912113,
  "p99_ms": 6362.220206065103,
  "by_workload_ok": {
    "sonnet": 500,
    "chat": 0,
    "code": 0
  },
  "n_err": 0,
  "first_errors": []
}
