tag,workload,config,sweep,req_tps,out_tps,tot_tps,prefix_hit_pct
p1_chat_prefix_lhc_amx_c3_prefix_s1,chat_prefix,lhc_amx_c3_prefix,1,34.9650,17902.0659,93067.1064,
p1_chat_prefix_lhc_amx_c3_prefix_s2,chat_prefix,lhc_amx_c3_prefix,2,35.5730,18213.3573,94685.4105,
p1_chat_prefix_lhc_amx_c3_prefix_s3,chat_prefix,lhc_amx_c3_prefix,3,34.8543,17845.3978,92772.5069,
p1_chat_prefix_vanilla_s1,chat_prefix,vanilla,1,35.9944,18429.1370,95807.1800,
p1_chat_prefix_vanilla_s2,chat_prefix,vanilla,2,35.8200,18339.8190,95342.8447,
p1_chat_prefix_vanilla_s3,chat_prefix,vanilla,3,36.3099,18590.6827,96647.0046,
p1_sonnet_lhc_amx_c3_prefix_s1,sonnet,lhc_amx_c3_prefix,1,33.9221,16929.2198,32757.2612,
p1_sonnet_lhc_amx_c3_prefix_s2,sonnet,lhc_amx_c3_prefix,2,34.4683,17274.4317,33357.3616,
p1_sonnet_lhc_amx_c3_prefix_s3,sonnet,lhc_amx_c3_prefix,3,34.6681,17244.4628,33420.5938,
p1_sonnet_vanilla_s1,sonnet,vanilla,1,34.7085,17378.8949,33573.8828,
p1_sonnet_vanilla_s2,sonnet,vanilla,2,34.1983,17067.1170,33024.0220,
p1_sonnet_vanilla_s3,sonnet,vanilla,3,34.7619,17256.3447,33476.2296,
