timestamp,gpu_index,gpu_util_pct,gpu_mem_util_pct,gpu_mem_used_mib,gpu_mem_total_mib,gpu_temp_c,gpu_power_w
2026-05-25T09:43:57.113775+00:00,0,0,0,6312,81559,36,121.04
2026-05-25T09:43:57.113775+00:00,1,0,0,0,81559,27,69.73
2026-05-25T09:43:57.113775+00:00,2,0,0,0,81559,26,70.75
2026-05-25T09:43:57.113775+00:00,3,0,0,0,81559,31,73.14
2026-05-25T09:43:57.113775+00:00,4,0,0,0,81559,31,76.56
2026-05-25T09:43:57.113775+00:00,5,0,0,0,81559,28,70.65
2026-05-25T09:43:57.113775+00:00,6,0,0,0,81559,26,69.17
2026-05-25T09:43:57.113775+00:00,7,0,0,1283,81559,36,130.90
2026-05-25T09:43:58.272793+00:00,0,0,0,6312,81559,36,121.06
2026-05-25T09:43:58.272793+00:00,1,0,0,0,81559,27,69.72
2026-05-25T09:43:58.272793+00:00,2,0,0,0,81559,26,70.77
2026-05-25T09:43:58.272793+00:00,3,0,0,0,81559,31,73.13
2026-05-25T09:43:58.272793+00:00,4,0,0,0,81559,31,76.57
2026-05-25T09:43:58.272793+00:00,5,0,0,0,81559,28,70.67
2026-05-25T09:43:58.272793+00:00,6,0,0,0,81559,26,69.19
2026-05-25T09:43:58.272793+00:00,7,0,0,1283,81559,36,130.92
2026-05-25T09:43:59.444269+00:00,0,0,0,6312,81559,36,121.06
2026-05-25T09:43:59.444269+00:00,1,0,0,0,81559,27,69.75
2026-05-25T09:43:59.444269+00:00,2,0,0,0,81559,26,70.82
2026-05-25T09:43:59.444269+00:00,3,0,0,0,81559,31,73.17
2026-05-25T09:43:59.444269+00:00,4,0,0,0,81559,31,76.56
2026-05-25T09:43:59.444269+00:00,5,0,0,0,81559,28,70.68
2026-05-25T09:43:59.444269+00:00,6,0,0,0,81559,26,69.17
2026-05-25T09:43:59.444269+00:00,7,0,0,1283,81559,36,130.91
2026-05-25T09:44:00.627482+00:00,0,0,0,6312,81559,36,121.06
