timestamp,cpu_util_pct,mem_used_gb,mem_total_gb
2026-05-25T09:40:03.102655+00:00,5.1,86.97,2014.83
2026-05-25T09:40:04.273395+00:00,1.4,87.11,2014.83
2026-05-25T09:40:05.444148+00:00,2.1,87.09,2014.83
2026-05-25T09:40:06.603812+00:00,2.8,87.08,2014.83
2026-05-25T09:40:07.776317+00:00,5.8,87.12,2014.83
2026-05-25T09:40:08.948687+00:00,1.8,87.17,2014.83
2026-05-25T09:40:10.109867+00:00,8.8,87.21,2014.83
2026-05-25T09:40:11.280697+00:00,1.1,87.35,2014.83
2026-05-25T09:40:12.440441+00:00,1.5,87.44,2014.83
2026-05-25T09:40:13.598161+00:00,1.1,87.52,2014.83
2026-05-25T09:40:15.311926+00:00,1.9,87.67,2014.83
2026-05-25T09:40:16.507180+00:00,2.2,87.93,2014.83
2026-05-25T09:40:17.688157+00:00,2.1,88.14,2014.83
2026-05-25T09:40:18.865681+00:00,1.4,88.22,2014.83
2026-05-25T09:40:20.041085+00:00,1.7,88.20,2014.83
2026-05-25T09:40:21.230225+00:00,1.7,88.23,2014.83
2026-05-25T09:40:22.407362+00:00,1.4,88.26,2014.83
2026-05-25T09:40:23.595160+00:00,1.7,88.30,2014.83
2026-05-25T09:40:24.758084+00:00,2.2,88.33,2014.83
2026-05-25T09:40:25.922455+00:00,1.0,88.38,2014.83
2026-05-25T09:40:27.085876+00:00,1.0,88.40,2014.83
2026-05-25T09:40:28.249579+00:00,1.7,88.37,2014.83
2026-05-25T09:40:29.438726+00:00,1.8,88.36,2014.83
2026-05-25T09:40:30.612738+00:00,1.2,88.32,2014.83
2026-05-25T09:40:31.798862+00:00,2.4,88.25,2014.83
2026-05-25T09:40:32.987001+00:00,1.2,88.26,2014.83
2026-05-25T09:40:34.176877+00:00,1.7,88.30,2014.83
2026-05-25T09:40:35.340862+00:00,2.7,88.25,2014.83
2026-05-25T09:40:36.505805+00:00,1.7,88.26,2014.83
2026-05-25T09:40:37.681671+00:00,2.1,88.29,2014.83
2026-05-25T09:40:38.857527+00:00,1.6,88.34,2014.83
2026-05-25T09:40:40.053926+00:00,1.7,88.44,2014.83
2026-05-25T09:40:41.217059+00:00,1.1,88.58,2014.83
2026-05-25T09:40:42.380322+00:00,1.1,88.56,2014.83
2026-05-25T09:40:43.543402+00:00,1.2,88.49,2014.83
2026-05-25T09:40:44.706493+00:00,1.5,88.59,2014.83
2026-05-25T09:40:45.896127+00:00,1.5,88.60,2014.83
2026-05-25T09:40:47.072979+00:00,2.6,88.68,2014.83
2026-05-25T09:40:48.236245+00:00,1.7,88.52,2014.83
2026-05-25T09:40:49.412945+00:00,1.4,88.54,2014.83
2026-05-25T09:40:50.590457+00:00,2.2,88.50,2014.83
2026-05-25T09:40:51.777057+00:00,1.0,88.59,2014.83
2026-05-25T09:40:52.961542+00:00,1.7,88.67,2014.83
2026-05-25T09:40:54.157497+00:00,1.2,88.69,2014.83
2026-05-25T09:40:55.329756+00:00,2.0,88.65,2014.83
2026-05-25T09:40:56.515703+00:00,1.7,88.72,2014.83
2026-05-25T09:40:57.688921+00:00,1.3,87.36,2014.83
2026-05-25T09:40:58.849842+00:00,1.6,87.40,2014.83
2026-05-25T09:41:00.010437+00:00,2.1,86.69,2014.83
