timestamp,cpu_util_pct,mem_used_gb,mem_total_gb
2026-05-25T09:56:17.188528+00:00,5.7,86.46,2014.83
2026-05-25T09:56:18.374601+00:00,2.4,86.57,2014.83
2026-05-25T09:56:19.560506+00:00,1.9,86.63,2014.83
2026-05-25T09:56:20.742764+00:00,3.1,86.64,2014.83
2026-05-25T09:56:21.904076+00:00,4.7,86.69,2014.83
2026-05-25T09:56:23.078662+00:00,1.5,86.72,2014.83
2026-05-25T09:56:24.251420+00:00,6.8,86.82,2014.83
2026-05-25T09:56:25.413915+00:00,1.3,86.85,2014.83
2026-05-25T09:56:26.580987+00:00,1.5,86.96,2014.83
2026-05-25T09:56:27.741053+00:00,1.1,87.10,2014.83
2026-05-25T09:56:29.649648+00:00,1.6,87.42,2014.83
2026-05-25T09:56:30.836784+00:00,2.4,87.55,2014.83
2026-05-25T09:56:32.012766+00:00,3.1,87.68,2014.83
2026-05-25T09:56:33.189025+00:00,1.2,87.75,2014.83
2026-05-25T09:56:34.351046+00:00,1.5,87.93,2014.83
2026-05-25T09:56:35.542793+00:00,1.8,87.98,2014.83
2026-05-25T09:56:36.731352+00:00,1.9,87.96,2014.83
2026-05-25T09:56:37.915740+00:00,1.6,88.03,2014.83
2026-05-25T09:56:39.112074+00:00,1.8,88.10,2014.83
2026-05-25T09:56:40.285060+00:00,1.4,88.10,2014.83
2026-05-25T09:56:41.459354+00:00,1.5,88.17,2014.83
2026-05-25T09:56:42.631799+00:00,1.2,87.00,2014.83
2026-05-25T09:56:43.793061+00:00,1.2,86.99,2014.83
