timestamp,cpu_util_pct,mem_used_gb,mem_total_gb
2026-05-25T09:55:47.977548+00:00,5.0,86.76,2014.83
2026-05-25T09:55:49.148897+00:00,3.7,86.60,2014.83
2026-05-25T09:55:50.321641+00:00,3.3,86.61,2014.83
2026-05-25T09:55:51.507141+00:00,1.2,86.65,2014.83
2026-05-25T09:55:52.669074+00:00,5.9,86.68,2014.83
2026-05-25T09:55:53.828262+00:00,1.4,86.75,2014.83
2026-05-25T09:55:55.014104+00:00,8.9,86.81,2014.83
2026-05-25T09:55:56.201117+00:00,1.8,86.93,2014.83
2026-05-25T09:55:57.386456+00:00,1.3,87.05,2014.83
2026-05-25T09:55:58.571318+00:00,2.2,87.21,2014.83
2026-05-25T09:56:00.501794+00:00,1.0,87.45,2014.83
2026-05-25T09:56:01.784662+00:00,2.8,87.62,2014.83
2026-05-25T09:56:02.976643+00:00,2.6,87.62,2014.83
2026-05-25T09:56:04.150684+00:00,1.3,87.73,2014.83
2026-05-25T09:56:05.313759+00:00,2.5,87.88,2014.83
2026-05-25T09:56:06.503374+00:00,1.2,87.94,2014.83
2026-05-25T09:56:07.685044+00:00,1.6,87.98,2014.83
2026-05-25T09:56:08.871253+00:00,1.5,88.02,2014.83
2026-05-25T09:56:10.066994+00:00,2.1,88.12,2014.83
2026-05-25T09:56:11.239806+00:00,1.2,87.21,2014.83
2026-05-25T09:56:12.409167+00:00,1.0,87.07,2014.83
2026-05-25T09:56:13.570338+00:00,1.0,86.39,2014.83
