timestamp,cpu_util_pct,mem_used_gb,mem_total_gb
2026-05-25T09:59:35.608903+00:00,5.7,86.65,2014.83
2026-05-25T09:59:36.780501+00:00,1.3,86.73,2014.83
2026-05-25T09:59:37.939724+00:00,2.0,86.77,2014.83
2026-05-25T09:59:39.125459+00:00,1.4,86.78,2014.83
2026-05-25T09:59:40.310044+00:00,4.8,86.83,2014.83
2026-05-25T09:59:41.496385+00:00,1.0,86.96,2014.83
2026-05-25T09:59:42.681168+00:00,1.4,87.01,2014.83
2026-05-25T09:59:43.867835+00:00,1.9,87.05,2014.83
2026-05-25T09:59:45.039888+00:00,2.1,87.13,2014.83
2026-05-25T09:59:46.307109+00:00,2.2,87.41,2014.83
2026-05-25T09:59:48.038902+00:00,1.7,87.71,2014.83
2026-05-25T09:59:49.305129+00:00,3.3,88.15,2014.83
2026-05-25T09:59:50.481054+00:00,25.6,88.15,2014.83
2026-05-25T09:59:51.673008+00:00,26.5,88.08,2014.83
2026-05-25T09:59:52.836870+00:00,1.6,88.09,2014.83
2026-05-25T09:59:54.026507+00:00,1.3,88.10,2014.83
2026-05-25T09:59:55.189042+00:00,1.7,88.11,2014.83
2026-05-25T09:59:56.379835+00:00,1.8,88.17,2014.83
2026-05-25T09:59:57.567405+00:00,1.3,88.35,2014.83
2026-05-25T09:59:58.732905+00:00,2.0,88.51,2014.83
2026-05-25T09:59:59.910089+00:00,1.4,88.47,2014.83
2026-05-25T10:00:01.095044+00:00,1.8,88.47,2014.83
2026-05-25T10:00:02.278849+00:00,3.1,88.48,2014.83
2026-05-25T10:00:03.463009+00:00,1.3,88.61,2014.83
2026-05-25T10:00:04.645174+00:00,2.5,88.72,2014.83
2026-05-25T10:00:05.830119+00:00,1.8,88.74,2014.83
2026-05-25T10:00:07.016889+00:00,1.3,88.75,2014.83
2026-05-25T10:00:08.212034+00:00,2.7,87.35,2014.83
2026-05-25T10:00:09.398396+00:00,1.5,86.70,2014.83
