timestamp,cpu_util_pct,mem_used_gb,mem_total_gb
2026-05-25T17:42:18.418922+00:00,5.5,88.05,2014.83
2026-05-25T17:42:19.578275+00:00,1.9,88.11,2014.83
2026-05-25T17:42:20.753031+00:00,3.0,88.14,2014.83
2026-05-25T17:42:21.911108+00:00,1.0,88.19,2014.83
2026-05-25T17:42:23.070573+00:00,6.3,88.36,2014.83
2026-05-25T17:42:24.240421+00:00,2.7,88.47,2014.83
2026-05-25T17:42:25.410456+00:00,9.3,88.57,2014.83
2026-05-25T17:42:26.582069+00:00,1.7,88.61,2014.83
2026-05-25T17:42:27.741197+00:00,1.4,88.70,2014.83
2026-05-25T17:42:28.916302+00:00,1.4,88.82,2014.83
2026-05-25T17:42:30.545223+00:00,1.2,89.18,2014.83
2026-05-25T17:42:31.707493+00:00,2.5,89.48,2014.83
2026-05-25T17:42:32.897105+00:00,1.4,89.49,2014.83
2026-05-25T17:42:34.082005+00:00,1.7,89.48,2014.83
2026-05-25T17:42:35.252873+00:00,2.8,89.50,2014.83
2026-05-25T17:42:36.436643+00:00,1.2,89.51,2014.83
2026-05-25T17:42:37.619025+00:00,2.1,89.67,2014.83
2026-05-25T17:42:38.812700+00:00,3.2,89.73,2014.83
2026-05-25T17:42:40.008314+00:00,1.5,89.80,2014.83
2026-05-25T17:42:41.189242+00:00,1.1,89.74,2014.83
2026-05-25T17:42:42.369499+00:00,1.6,89.67,2014.83
2026-05-25T17:42:43.561163+00:00,1.1,89.62,2014.83
2026-05-25T17:42:44.730345+00:00,1.6,89.65,2014.83
2026-05-25T17:42:45.899707+00:00,1.6,89.66,2014.83
2026-05-25T17:42:47.098688+00:00,2.3,89.76,2014.83
2026-05-25T17:42:48.265596+00:00,1.2,89.80,2014.83
2026-05-25T17:42:49.433666+00:00,1.4,89.77,2014.83
2026-05-25T17:42:50.606687+00:00,2.3,89.76,2014.83
2026-05-25T17:42:51.803082+00:00,1.0,89.90,2014.83
2026-05-25T17:42:52.996973+00:00,2.5,90.11,2014.83
2026-05-25T17:42:54.196791+00:00,1.3,90.10,2014.83
2026-05-25T17:42:55.369827+00:00,1.3,89.88,2014.83
2026-05-25T17:42:56.565180+00:00,1.0,89.89,2014.83
2026-05-25T17:42:57.758604+00:00,1.8,89.90,2014.83
2026-05-25T17:42:58.946391+00:00,1.4,89.99,2014.83
2026-05-25T17:43:00.124473+00:00,1.4,90.14,2014.83
2026-05-25T17:43:01.327066+00:00,2.1,90.14,2014.83
2026-05-25T17:43:02.508100+00:00,1.0,90.14,2014.83
2026-05-25T17:43:03.691095+00:00,1.5,90.13,2014.83
2026-05-25T17:43:04.872511+00:00,2.0,90.10,2014.83
2026-05-25T17:43:06.066900+00:00,1.4,90.16,2014.83
2026-05-25T17:43:07.262192+00:00,1.4,90.28,2014.83
2026-05-25T17:43:08.467517+00:00,3.1,90.31,2014.83
2026-05-25T17:43:09.647931+00:00,1.4,90.23,2014.83
2026-05-25T17:43:10.854591+00:00,1.2,90.19,2014.83
2026-05-25T17:43:12.035674+00:00,1.5,90.16,2014.83
2026-05-25T17:43:13.226673+00:00,1.1,90.12,2014.83
2026-05-25T17:43:14.406243+00:00,1.8,90.07,2014.83
2026-05-25T17:43:15.600347+00:00,1.7,90.15,2014.83
2026-05-25T17:43:16.781259+00:00,1.1,90.23,2014.83
2026-05-25T17:43:17.972999+00:00,2.3,90.25,2014.83
2026-05-25T17:43:19.165249+00:00,1.9,90.21,2014.83
2026-05-25T17:43:20.345102+00:00,2.1,90.11,2014.83
2026-05-25T17:43:21.548614+00:00,1.1,90.15,2014.83
2026-05-25T17:43:22.740511+00:00,1.9,90.26,2014.83
2026-05-25T17:43:23.932167+00:00,3.0,90.22,2014.83
2026-05-25T17:43:25.130447+00:00,1.5,90.21,2014.83
2026-05-25T17:43:26.320340+00:00,1.6,90.18,2014.83
2026-05-25T17:43:27.497805+00:00,1.3,90.17,2014.83
2026-05-25T17:43:28.689040+00:00,2.0,90.13,2014.83
2026-05-25T17:43:29.868540+00:00,1.3,90.23,2014.83
2026-05-25T17:43:31.048027+00:00,1.0,90.21,2014.83
2026-05-25T17:43:32.239259+00:00,1.0,90.17,2014.83
2026-05-25T17:43:33.431922+00:00,1.2,90.19,2014.83
2026-05-25T17:43:34.610147+00:00,1.7,90.20,2014.83
2026-05-25T17:43:35.800708+00:00,2.9,90.21,2014.83
2026-05-25T17:43:36.995973+00:00,1.3,90.24,2014.83
2026-05-25T17:43:38.176917+00:00,3.7,90.33,2014.83
2026-05-25T17:43:39.358284+00:00,1.3,90.28,2014.83
2026-05-25T17:43:40.563168+00:00,3.7,90.28,2014.83
2026-05-25T17:43:41.756048+00:00,1.4,90.26,2014.83
2026-05-25T17:43:42.961150+00:00,1.7,90.20,2014.83
2026-05-25T17:43:44.166622+00:00,1.3,90.20,2014.83
2026-05-25T17:43:45.357747+00:00,1.4,90.29,2014.83
2026-05-25T17:43:46.564420+00:00,1.0,90.21,2014.83
2026-05-25T17:43:47.758527+00:00,1.9,90.18,2014.83
2026-05-25T17:43:48.966183+00:00,1.5,90.17,2014.83
2026-05-25T17:43:50.147293+00:00,2.1,90.15,2014.83
2026-05-25T17:43:51.340254+00:00,1.8,90.23,2014.83
2026-05-25T17:43:52.544775+00:00,1.4,90.32,2014.83
2026-05-25T17:43:53.754359+00:00,2.8,90.30,2014.83
2026-05-25T17:43:54.933214+00:00,1.6,90.36,2014.83
2026-05-25T17:43:56.139446+00:00,1.9,90.36,2014.83
2026-05-25T17:43:57.351060+00:00,0.9,90.35,2014.83
2026-05-25T17:43:58.554818+00:00,2.4,90.21,2014.83
2026-05-25T17:43:59.763553+00:00,1.3,90.23,2014.83
2026-05-25T17:44:00.968129+00:00,1.1,90.21,2014.83
2026-05-25T17:44:02.145564+00:00,1.6,90.17,2014.83
2026-05-25T17:44:03.325635+00:00,1.2,90.15,2014.83
2026-05-25T17:44:04.518322+00:00,1.4,90.13,2014.83
2026-05-25T17:44:05.727807+00:00,2.4,90.13,2014.83
2026-05-25T17:44:06.934830+00:00,1.2,90.19,2014.83
2026-05-25T17:44:08.143546+00:00,3.1,90.31,2014.83
2026-05-25T17:44:09.347217+00:00,1.5,90.25,2014.83
2026-05-25T17:44:10.553486+00:00,1.2,90.20,2014.83
2026-05-25T17:44:11.732277+00:00,1.6,90.17,2014.83
2026-05-25T17:44:12.937310+00:00,1.9,90.22,2014.83
2026-05-25T17:44:14.130266+00:00,1.2,90.16,2014.83
2026-05-25T17:44:15.322455+00:00,1.5,90.24,2014.83
2026-05-25T17:44:16.514503+00:00,1.1,90.21,2014.83
2026-05-25T17:44:17.713619+00:00,2.3,90.19,2014.83
2026-05-25T17:44:18.944232+00:00,1.8,90.18,2014.83
2026-05-25T17:44:20.123273+00:00,2.4,90.17,2014.83
2026-05-25T17:44:21.329067+00:00,1.4,90.22,2014.83
2026-05-25T17:44:22.520400+00:00,2.1,90.32,2014.83
2026-05-25T17:44:23.725077+00:00,2.8,90.31,2014.83
2026-05-25T17:44:24.917519+00:00,2.0,90.28,2014.83
2026-05-25T17:44:26.121886+00:00,1.2,90.24,2014.83
2026-05-25T17:44:27.325791+00:00,1.0,90.27,2014.83
2026-05-25T17:44:28.528559+00:00,2.1,90.25,2014.83
2026-05-25T17:44:29.718747+00:00,2.0,90.24,2014.83
2026-05-25T17:44:30.895295+00:00,1.1,90.31,2014.83
2026-05-25T17:44:32.090905+00:00,1.2,90.24,2014.83
2026-05-25T17:44:33.281950+00:00,1.8,90.40,2014.83
2026-05-25T17:44:34.461501+00:00,2.5,90.34,2014.83
2026-05-25T17:44:35.665847+00:00,1.7,90.21,2014.83
2026-05-25T17:44:36.859360+00:00,1.2,90.21,2014.83
2026-05-25T17:44:38.050982+00:00,3.0,90.35,2014.83
2026-05-25T17:44:39.235015+00:00,1.5,90.32,2014.83
2026-05-25T17:44:40.413049+00:00,1.4,90.27,2014.83
2026-05-25T17:44:41.606311+00:00,1.5,90.28,2014.83
2026-05-25T17:44:42.802503+00:00,1.5,90.28,2014.83
2026-05-25T17:44:44.005535+00:00,1.1,90.24,2014.83
2026-05-25T17:44:45.196596+00:00,2.1,90.34,2014.83
2026-05-25T17:44:46.397386+00:00,1.1,90.30,2014.83
2026-05-25T17:44:47.579934+00:00,2.0,90.36,2014.83
2026-05-25T17:44:48.758839+00:00,1.5,90.32,2014.83
2026-05-25T17:44:49.963478+00:00,1.3,90.30,2014.83
2026-05-25T17:44:51.145225+00:00,1.4,90.34,2014.83
2026-05-25T17:44:52.340866+00:00,1.8,90.44,2014.83
2026-05-25T17:44:53.545497+00:00,2.6,90.42,2014.83
2026-05-25T17:44:54.742812+00:00,1.3,90.38,2014.83
2026-05-25T17:44:55.952528+00:00,1.6,90.34,2014.83
2026-05-25T17:44:57.147691+00:00,1.3,90.30,2014.83
2026-05-25T17:44:58.352027+00:00,2.0,90.22,2014.83
2026-05-25T17:44:59.531095+00:00,1.9,90.23,2014.83
2026-05-25T17:45:00.721455+00:00,1.4,90.29,2014.83
2026-05-25T17:45:01.926548+00:00,1.1,90.27,2014.83
2026-05-25T17:45:03.106665+00:00,2.7,90.22,2014.83
2026-05-25T17:45:04.302917+00:00,1.4,90.22,2014.83
2026-05-25T17:45:05.485999+00:00,2.4,90.20,2014.83
2026-05-25T17:45:06.679570+00:00,1.2,90.23,2014.83
2026-05-25T17:45:07.857845+00:00,2.1,90.32,2014.83
2026-05-25T17:45:09.036036+00:00,2.9,90.33,2014.83
2026-05-25T17:45:10.226500+00:00,1.3,90.30,2014.83
2026-05-25T17:45:11.404830+00:00,1.2,90.42,2014.83
2026-05-25T17:45:12.584232+00:00,1.8,90.41,2014.83
2026-05-25T17:45:13.775951+00:00,1.3,90.27,2014.83
2026-05-25T17:45:14.968279+00:00,1.6,90.32,2014.83
2026-05-25T17:45:16.147693+00:00,1.6,90.28,2014.83
2026-05-25T17:45:17.327569+00:00,0.9,90.24,2014.83
2026-05-25T17:45:18.530707+00:00,2.2,90.22,2014.83
2026-05-25T17:45:19.721810+00:00,2.1,90.21,2014.83
2026-05-25T17:45:20.914584+00:00,1.3,90.22,2014.83
2026-05-25T17:45:22.092324+00:00,1.5,90.22,2014.83
2026-05-25T17:45:23.296621+00:00,2.7,90.32,2014.83
2026-05-25T17:45:24.492858+00:00,1.8,90.28,2014.83
2026-05-25T17:45:25.685533+00:00,1.8,90.27,2014.83
2026-05-25T17:45:26.875741+00:00,1.1,90.26,2014.83
2026-05-25T17:45:28.053649+00:00,1.8,90.27,2014.83
2026-05-25T17:45:29.232091+00:00,1.3,90.27,2014.83
2026-05-25T17:45:30.436467+00:00,2.4,90.35,2014.83
2026-05-25T17:45:31.614750+00:00,0.9,90.32,2014.83
2026-05-25T17:45:32.806454+00:00,1.2,90.28,2014.83
2026-05-25T17:45:34.013184+00:00,1.3,90.24,2014.83
2026-05-25T17:45:35.204359+00:00,2.3,90.22,2014.83
2026-05-25T17:45:36.399099+00:00,2.0,90.25,2014.83
2026-05-25T17:45:37.604060+00:00,1.7,90.30,2014.83
2026-05-25T17:45:38.797926+00:00,2.7,90.28,2014.83
2026-05-25T17:45:39.990643+00:00,3.8,89.96,2014.83
2026-05-25T17:45:41.197104+00:00,1.1,89.94,2014.83
2026-05-25T17:45:42.377400+00:00,1.6,89.91,2014.83
2026-05-25T17:45:43.582093+00:00,1.4,89.88,2014.83
2026-05-25T17:45:44.773511+00:00,1.2,89.88,2014.83
2026-05-25T17:45:45.978072+00:00,1.8,89.90,2014.83
2026-05-25T17:45:47.168488+00:00,0.9,89.85,2014.83
2026-05-25T17:45:48.348910+00:00,1.9,89.89,2014.83
2026-05-25T17:45:49.540098+00:00,2.2,90.03,2014.83
2026-05-25T17:45:50.745319+00:00,2.2,89.99,2014.83
2026-05-25T17:45:51.925237+00:00,1.6,89.97,2014.83
2026-05-25T17:45:53.128844+00:00,2.7,90.03,2014.83
2026-05-25T17:45:54.336610+00:00,1.7,89.95,2014.83
2026-05-25T17:45:55.557930+00:00,1.5,89.91,2014.83
2026-05-25T17:45:56.764930+00:00,1.0,89.92,2014.83
2026-05-25T17:45:57.973563+00:00,1.6,89.94,2014.83
2026-05-25T17:45:59.176502+00:00,1.1,89.90,2014.83
2026-05-25T17:46:00.367631+00:00,2.1,89.94,2014.83
2026-05-25T17:46:01.561018+00:00,0.9,89.93,2014.83
2026-05-25T17:46:02.765792+00:00,2.0,89.84,2014.83
2026-05-25T17:46:03.971483+00:00,1.5,89.88,2014.83
2026-05-25T17:46:05.152095+00:00,2.4,89.86,2014.83
2026-05-25T17:46:06.345371+00:00,2.0,89.91,2014.83
2026-05-25T17:46:07.526919+00:00,1.6,90.00,2014.83
2026-05-25T17:46:08.734764+00:00,3.5,89.98,2014.83
2026-05-25T17:46:09.914569+00:00,2.4,89.93,2014.83
2026-05-25T17:46:11.121248+00:00,1.3,89.95,2014.83
2026-05-25T17:46:12.300058+00:00,0.9,89.95,2014.83
2026-05-25T17:46:13.507977+00:00,1.2,89.93,2014.83
2026-05-25T17:46:14.701312+00:00,1.9,89.90,2014.83
2026-05-25T17:46:15.882085+00:00,1.1,89.95,2014.83
2026-05-25T17:46:17.073891+00:00,1.4,89.92,2014.83
2026-05-25T17:46:18.269687+00:00,1.7,89.95,2014.83
2026-05-25T17:46:19.474956+00:00,1.6,89.95,2014.83
2026-05-25T17:46:20.667299+00:00,2.1,89.95,2014.83
2026-05-25T17:46:21.875144+00:00,1.1,90.01,2014.83
2026-05-25T17:46:23.065757+00:00,2.7,90.13,2014.83
2026-05-25T17:46:24.245246+00:00,1.2,90.09,2014.83
2026-05-25T17:46:25.449082+00:00,1.9,90.05,2014.83
2026-05-25T17:46:26.654172+00:00,1.9,90.68,2014.83
2026-05-25T17:46:27.856317+00:00,1.6,93.56,2014.83
2026-05-25T17:46:29.045945+00:00,1.2,93.44,2014.83
2026-05-25T17:46:30.223647+00:00,2.0,92.09,2014.83
2026-05-25T17:46:31.426408+00:00,1.3,90.49,2014.83
2026-05-25T17:46:32.634224+00:00,1.7,90.01,2014.83
2026-05-25T17:46:33.822916+00:00,1.8,89.97,2014.83
2026-05-25T17:46:35.029608+00:00,1.4,89.94,2014.83
2026-05-25T17:46:36.226567+00:00,1.9,90.00,2014.83
2026-05-25T17:46:37.422831+00:00,2.0,90.11,2014.83
2026-05-25T17:46:38.601500+00:00,3.3,90.10,2014.83
2026-05-25T17:46:39.791433+00:00,2.3,90.05,2014.83
2026-05-25T17:46:40.970533+00:00,1.3,90.04,2014.83
2026-05-25T17:46:42.159387+00:00,1.0,90.01,2014.83
2026-05-25T17:46:43.350578+00:00,1.0,90.06,2014.83
2026-05-25T17:46:44.528454+00:00,1.9,89.98,2014.83
2026-05-25T17:46:45.736123+00:00,1.7,90.05,2014.83
2026-05-25T17:46:46.928124+00:00,1.1,90.05,2014.83
2026-05-25T17:46:48.124086+00:00,1.8,90.03,2014.83
2026-05-25T17:46:49.303825+00:00,1.4,90.04,2014.83
2026-05-25T17:46:50.484066+00:00,3.2,90.03,2014.83
2026-05-25T17:46:51.689022+00:00,1.1,90.07,2014.83
