worker=0 K=3584 N=18944 B=128 dtype=bf16
  t=5.0s iters=207 tflops=0.72
  t=10.0s iters=418 tflops=0.73
  t=15.0s iters=630 tflops=0.73
  t=20.1s iters=841 tflops=0.73
  t=25.1s iters=1028 tflops=0.71
  t=30.1s iters=1213 tflops=0.70
  t=35.1s iters=1411 tflops=0.70
  t=40.2s iters=1593 tflops=0.69
  t=45.2s iters=1778 tflops=0.68
  t=50.2s iters=1973 tflops=0.68
  t=55.2s iters=2172 tflops=0.68
  t=60.2s iters=2371 tflops=0.68
  t=65.2s iters=2570 tflops=0.68
  t=70.3s iters=2772 tflops=0.69
  t=75.3s iters=2973 tflops=0.69
  t=80.3s iters=3173 tflops=0.69
  t=85.3s iters=3374 tflops=0.69
  t=90.3s iters=3569 tflops=0.69
  t=95.3s iters=3768 tflops=0.69
  t=100.4s iters=3968 tflops=0.69
  t=105.4s iters=4170 tflops=0.69
  t=110.4s iters=4369 tflops=0.69
  t=115.4s iters=4570 tflops=0.69
  t=120.4s iters=4772 tflops=0.69
  t=125.4s iters=4972 tflops=0.69
  t=130.5s iters=5174 tflops=0.69
  t=135.5s iters=5376 tflops=0.69
  t=140.5s iters=5575 tflops=0.69
  t=145.5s iters=5776 tflops=0.69
  t=150.5s iters=5976 tflops=0.69
  t=155.5s iters=6176 tflops=0.69
  t=160.5s iters=6376 tflops=0.69
  t=165.6s iters=6577 tflops=0.69
