timestamp,cpu_util_pct,mem_used_gb,mem_total_gb
2026-05-26T14:26:47.723100+00:00,2.0,88.92,2014.83
2026-05-26T14:26:48.115990+00:00,23.1,89.05,2014.83
2026-05-26T14:26:48.490306+00:00,2.6,89.12,2014.83
2026-05-26T14:26:48.879025+00:00,1.6,89.13,2014.83
2026-05-26T14:26:49.237933+00:00,1.8,89.18,2014.83
2026-05-26T14:26:49.619344+00:00,1.7,89.24,2014.83
2026-05-26T14:26:50.003479+00:00,1.7,89.25,2014.83
2026-05-26T14:26:50.360422+00:00,2.9,89.28,2014.83
2026-05-26T14:26:50.890850+00:00,3.8,89.33,2014.83
2026-05-26T14:26:51.467116+00:00,3.8,89.35,2014.83
2026-05-26T14:26:51.838477+00:00,2.3,89.40,2014.83
2026-05-26T14:26:52.258674+00:00,1.6,89.46,2014.83
2026-05-26T14:26:52.627667+00:00,1.9,89.53,2014.83
2026-05-26T14:26:53.066455+00:00,26.9,89.57,2014.83
2026-05-26T14:26:53.456467+00:00,2.6,89.61,2014.83
2026-05-26T14:26:53.828712+00:00,1.8,89.64,2014.83
2026-05-26T14:26:54.199576+00:00,4.6,89.69,2014.83
2026-05-26T14:26:54.586991+00:00,1.5,89.70,2014.83
2026-05-26T14:26:55.018118+00:00,1.4,89.70,2014.83
2026-05-26T14:26:55.409077+00:00,3.8,89.74,2014.83
2026-05-26T14:26:55.867012+00:00,1.6,89.75,2014.83
2026-05-26T14:26:56.253013+00:00,1.6,89.82,2014.83
2026-05-26T14:26:56.621479+00:00,1.7,89.80,2014.83
2026-05-26T14:26:56.991828+00:00,1.6,89.84,2014.83
2026-05-26T14:26:57.383951+00:00,1.2,89.84,2014.83
2026-05-26T14:26:57.740730+00:00,2.2,89.87,2014.83
2026-05-26T14:26:58.127277+00:00,1.4,89.90,2014.83
2026-05-26T14:26:59.318454+00:00,2.5,90.09,2014.83
2026-05-26T14:27:00.894761+00:00,1.8,90.34,2014.83
2026-05-26T14:27:01.255332+00:00,1.5,90.37,2014.83
2026-05-26T14:27:01.667223+00:00,5.0,90.47,2014.83
2026-05-26T14:27:02.029202+00:00,1.7,90.63,2014.83
2026-05-26T14:27:02.409050+00:00,19.9,90.80,2014.83
2026-05-26T14:27:02.772843+00:00,20.5,90.86,2014.83
2026-05-26T14:27:03.149950+00:00,1.4,90.92,2014.83
2026-05-26T14:27:03.510880+00:00,5.2,90.98,2014.83
2026-05-26T14:27:03.885195+00:00,1.8,91.02,2014.83
2026-05-26T14:27:04.258465+00:00,1.6,91.06,2014.83
2026-05-26T14:27:04.643815+00:00,4.0,91.07,2014.83
2026-05-26T14:27:05.088780+00:00,20.6,91.11,2014.83
2026-05-26T14:27:05.451812+00:00,3.8,91.16,2014.83
2026-05-26T14:27:05.859707+00:00,40.3,91.17,2014.83
2026-05-26T14:27:06.249349+00:00,28.7,91.23,2014.83
