worker=4 cpu=84 K=5120 N=27648 B=128 dtype=bf16
  t=5.1s iters=50 tflops=0.36
  t=10.1s iters=99 tflops=0.35
  t=15.2s iters=148 tflops=0.35
  t=20.2s iters=197 tflops=0.35
  t=25.2s iters=246 tflops=0.35
  t=30.3s iters=295 tflops=0.35
  t=35.3s iters=344 tflops=0.35
  t=40.3s iters=393 tflops=0.35
  t=45.4s iters=442 tflops=0.35
  t=50.5s iters=492 tflops=0.35
  t=55.5s iters=541 tflops=0.35
  t=60.5s iters=589 tflops=0.35
  t=65.6s iters=636 tflops=0.35
  t=70.6s iters=684 tflops=0.35
  t=75.7s iters=732 tflops=0.35
  t=80.8s iters=780 tflops=0.35
  t=85.9s iters=829 tflops=0.35
  t=90.9s iters=878 tflops=0.35
  t=96.0s iters=927 tflops=0.35
  t=101.1s iters=976 tflops=0.35
  t=106.1s iters=1025 tflops=0.35
  t=111.2s iters=1074 tflops=0.35
  t=116.2s iters=1123 tflops=0.35
  t=121.2s iters=1172 tflops=0.35
  t=126.3s iters=1221 tflops=0.35
  t=131.3s iters=1270 tflops=0.35
  t=136.3s iters=1319 tflops=0.35
  t=141.3s iters=1368 tflops=0.35
  t=146.4s iters=1417 tflops=0.35
  t=151.4s iters=1466 tflops=0.35
  t=156.4s iters=1515 tflops=0.35
  t=161.5s iters=1558 tflops=0.35
  t=166.6s iters=1583 tflops=0.34
  t=171.7s iters=1613 tflops=0.34
  t=176.8s iters=1638 tflops=0.34
  t=181.9s iters=1663 tflops=0.33
  t=187.1s iters=1688 tflops=0.33
  t=192.2s iters=1713 tflops=0.32
  t=197.3s iters=1741 tflops=0.32
  t=202.3s iters=1790 tflops=0.32
  t=207.3s iters=1839 tflops=0.32
  t=212.3s iters=1888 tflops=0.32
  t=217.3s iters=1937 tflops=0.32
  t=222.4s iters=1986 tflops=0.32
  t=227.4s iters=2035 tflops=0.32
  t=232.4s iters=2084 tflops=0.32
  t=237.5s iters=2133 tflops=0.33
  t=242.5s iters=2182 tflops=0.33
  t=247.6s iters=2230 tflops=0.33
  t=252.6s iters=2270 tflops=0.33
  t=257.7s iters=2319 tflops=0.33
  t=262.7s iters=2368 tflops=0.33
  t=267.8s iters=2417 tflops=0.33
  t=272.8s iters=2464 tflops=0.33
  t=277.9s iters=2513 tflops=0.33
  t=282.9s iters=2562 tflops=0.33
  t=288.0s iters=2611 tflops=0.33
