timestamp,cpu_util_pct,mem_used_gb,mem_total_gb
2026-05-27T03:27:58.492467+00:00,2.0,89.59,2014.83
2026-05-27T03:27:59.152034+00:00,1.3,89.62,2014.83
2026-05-27T03:27:59.810772+00:00,2.3,89.65,2014.83
2026-05-27T03:28:00.482469+00:00,2.1,89.66,2014.83
2026-05-27T03:28:01.166715+00:00,30.2,89.68,2014.83
2026-05-27T03:28:01.879096+00:00,0.8,89.69,2014.83
2026-05-27T03:28:02.523488+00:00,0.9,89.69,2014.83
2026-05-27T03:28:03.193064+00:00,2.6,89.70,2014.83
2026-05-27T03:28:03.863830+00:00,1.8,89.78,2014.83
2026-05-27T03:28:04.533173+00:00,1.7,89.79,2014.83
2026-05-27T03:28:05.204665+00:00,2.4,89.79,2014.83
2026-05-27T03:28:05.874057+00:00,2.4,89.82,2014.83
2026-05-27T03:28:06.557853+00:00,2.5,89.85,2014.83
2026-05-27T03:28:07.217106+00:00,1.0,89.88,2014.83
2026-05-27T03:28:07.861629+00:00,1.6,89.95,2014.83
2026-05-27T03:28:08.605998+00:00,0.9,90.03,2014.83
2026-05-27T03:28:09.611773+00:00,1.3,90.10,2014.83
2026-05-27T03:28:10.256976+00:00,2.8,90.16,2014.83
2026-05-27T03:28:10.929452+00:00,1.0,90.36,2014.83
2026-05-27T03:28:11.586808+00:00,2.1,90.46,2014.83
2026-05-27T03:28:12.270093+00:00,1.5,90.49,2014.83
2026-05-27T03:28:12.941192+00:00,1.1,90.52,2014.83
2026-05-27T03:28:13.626996+00:00,1.3,90.55,2014.83
2026-05-27T03:28:14.299252+00:00,1.5,90.52,2014.83
2026-05-27T03:28:14.968470+00:00,1.2,90.51,2014.83
2026-05-27T03:28:15.643161+00:00,1.7,90.57,2014.83
2026-05-27T03:28:16.317577+00:00,1.0,90.60,2014.83
2026-05-27T03:28:16.976869+00:00,1.0,90.61,2014.83
2026-05-27T03:28:17.648717+00:00,1.0,90.65,2014.83
2026-05-27T03:28:18.320186+00:00,4.9,91.44,2014.83
2026-05-27T03:28:19.006670+00:00,3.3,91.71,2014.83
2026-05-27T03:28:19.677847+00:00,2.7,91.91,2014.83
2026-05-27T03:28:20.350055+00:00,4.0,92.01,2014.83
2026-05-27T03:28:21.010068+00:00,2.5,92.10,2014.83
2026-05-27T03:28:22.111291+00:00,2.0,92.19,2014.83
2026-05-27T03:28:22.783108+00:00,3.7,92.19,2014.83
2026-05-27T03:28:23.466820+00:00,4.0,92.38,2014.83
2026-05-27T03:28:24.138496+00:00,5.8,92.49,2014.83
2026-05-27T03:28:24.812075+00:00,2.2,92.65,2014.83
2026-05-27T03:28:25.468884+00:00,2.3,92.69,2014.83
2026-05-27T03:28:26.116953+00:00,3.8,92.80,2014.83
2026-05-27T03:28:26.806578+00:00,2.4,92.96,2014.83
2026-05-27T03:28:27.465476+00:00,2.7,93.03,2014.83
2026-05-27T03:28:28.651246+00:00,2.4,93.12,2014.83
2026-05-27T03:28:29.532254+00:00,2.5,93.47,2014.83
2026-05-27T03:28:30.310023+00:00,4.5,94.77,2014.83
2026-05-27T03:28:31.190489+00:00,2.7,94.94,2014.83
2026-05-27T03:28:32.003093+00:00,2.3,95.10,2014.83
2026-05-27T03:28:32.667249+00:00,3.9,97.50,2014.83
2026-05-27T03:28:33.366715+00:00,4.1,97.60,2014.83
2026-05-27T03:28:34.060906+00:00,5.2,97.94,2014.83
2026-05-27T03:28:34.729840+00:00,4.9,98.04,2014.83
2026-05-27T03:28:35.409157+00:00,5.0,98.13,2014.83
2026-05-27T03:28:36.075106+00:00,6.7,98.07,2014.83
2026-05-27T03:28:36.767246+00:00,4.5,98.11,2014.83
2026-05-27T03:28:37.459663+00:00,4.4,98.12,2014.83
