timestamp,cpu_util_pct,mem_used_gb,mem_total_gb
2026-05-27T03:11:35.162760+00:00,2.2,89.68,2014.83
2026-05-27T03:11:35.847268+00:00,2.8,89.77,2014.83
2026-05-27T03:11:36.508175+00:00,2.7,89.89,2014.83
2026-05-27T03:11:37.168798+00:00,1.4,89.94,2014.83
2026-05-27T03:11:37.839866+00:00,1.4,90.03,2014.83
2026-05-27T03:11:38.609302+00:00,2.5,90.00,2014.83
2026-05-27T03:11:39.292526+00:00,3.8,90.01,2014.83
2026-05-27T03:11:39.978744+00:00,2.5,90.07,2014.83
2026-05-27T03:11:40.650072+00:00,1.3,90.09,2014.83
2026-05-27T03:11:41.323444+00:00,1.7,90.24,2014.83
2026-05-27T03:11:41.993667+00:00,1.5,90.25,2014.83
2026-05-27T03:11:42.683689+00:00,1.3,90.31,2014.83
2026-05-27T03:11:43.351368+00:00,1.7,90.38,2014.83
2026-05-27T03:11:44.023911+00:00,2.1,90.44,2014.83
2026-05-27T03:11:44.699913+00:00,2.0,90.42,2014.83
2026-05-27T03:11:45.477103+00:00,1.4,90.47,2014.83
2026-05-27T03:11:46.986855+00:00,1.0,90.65,2014.83
2026-05-27T03:11:47.883478+00:00,2.4,90.79,2014.83
2026-05-27T03:11:48.572023+00:00,1.7,91.17,2014.83
2026-05-27T03:11:49.234613+00:00,2.4,91.45,2014.83
2026-05-27T03:11:49.922747+00:00,1.2,91.52,2014.83
2026-05-27T03:11:50.609596+00:00,2.4,91.57,2014.83
2026-05-27T03:11:51.271918+00:00,2.3,91.64,2014.83
2026-05-27T03:11:51.934838+00:00,1.7,91.73,2014.83
2026-05-27T03:11:52.609691+00:00,3.0,91.76,2014.83
2026-05-27T03:11:53.284398+00:00,3.4,91.81,2014.83
2026-05-27T03:11:53.947012+00:00,3.1,91.88,2014.83
2026-05-27T03:11:54.682769+00:00,1.2,91.93,2014.83
2026-05-27T03:11:55.371094+00:00,2.4,91.93,2014.83
2026-05-27T03:11:56.081932+00:00,2.0,92.48,2014.83
2026-05-27T03:11:56.768373+00:00,5.3,93.65,2014.83
2026-05-27T03:11:57.455473+00:00,4.2,93.98,2014.83
2026-05-27T03:11:58.132856+00:00,4.8,94.35,2014.83
2026-05-27T03:11:58.810378+00:00,4.4,94.58,2014.83
2026-05-27T03:12:00.049445+00:00,3.8,94.68,2014.83
2026-05-27T03:12:01.413426+00:00,3.8,94.79,2014.83
2026-05-27T03:12:02.093267+00:00,4.0,94.84,2014.83
2026-05-27T03:12:02.769247+00:00,7.6,95.14,2014.83
2026-05-27T03:12:03.456875+00:00,5.4,95.43,2014.83
2026-05-27T03:12:04.146748+00:00,5.6,95.80,2014.83
2026-05-27T03:12:04.809603+00:00,3.8,95.88,2014.83
2026-05-27T03:12:05.581452+00:00,7.8,96.14,2014.83
2026-05-27T03:12:06.248701+00:00,4.8,96.31,2014.83
2026-05-27T03:12:06.925505+00:00,4.2,96.50,2014.83
2026-05-27T03:12:08.167103+00:00,1.9,96.65,2014.83
2026-05-27T03:12:09.772614+00:00,1.4,97.07,2014.83
2026-05-27T03:12:10.424379+00:00,4.5,97.56,2014.83
2026-05-27T03:12:11.264596+00:00,3.3,100.10,2014.83
2026-05-27T03:12:12.112385+00:00,3.4,100.37,2014.83
2026-05-27T03:12:12.962807+00:00,4.2,100.47,2014.83
2026-05-27T03:12:13.808284+00:00,4.4,100.83,2014.83
2026-05-27T03:12:14.491416+00:00,4.7,102.12,2014.83
2026-05-27T03:12:15.249496+00:00,7.7,102.37,2014.83
2026-05-27T03:12:15.954115+00:00,8.5,102.88,2014.83
2026-05-27T03:12:16.659671+00:00,8.8,102.89,2014.83
2026-05-27T03:12:17.361445+00:00,9.3,102.91,2014.83
2026-05-27T03:12:18.054868+00:00,10.8,103.10,2014.83
2026-05-27T03:12:18.760606+00:00,8.7,103.26,2014.83
2026-05-27T03:12:19.438928+00:00,9.6,103.32,2014.83
2026-05-27T03:12:20.141756+00:00,6.7,103.12,2014.83
2026-05-27T03:12:20.841222+00:00,4.7,103.05,2014.83
2026-05-27T03:12:21.511975+00:00,5.2,103.12,2014.83
2026-05-27T03:12:22.208985+00:00,5.6,103.15,2014.83
2026-05-27T03:12:22.891183+00:00,4.6,103.21,2014.83
2026-05-27T03:12:23.575283+00:00,6.7,103.25,2014.83
2026-05-27T03:12:24.246936+00:00,7.4,103.25,2014.83
2026-05-27T03:12:24.916177+00:00,4.1,103.28,2014.83
2026-05-27T03:12:25.613052+00:00,4.1,103.34,2014.83
2026-05-27T03:12:26.309527+00:00,4.5,103.47,2014.83
2026-05-27T03:12:27.004707+00:00,3.9,103.47,2014.83
2026-05-27T03:12:27.983848+00:00,3.5,103.77,2014.83
2026-05-27T03:12:28.692691+00:00,4.1,103.86,2014.83
2026-05-27T03:12:29.387425+00:00,4.6,104.06,2014.83
2026-05-27T03:12:30.069256+00:00,6.6,104.07,2014.83
2026-05-27T03:12:30.775281+00:00,4.2,104.09,2014.83
2026-05-27T03:12:31.468215+00:00,5.3,104.02,2014.83
2026-05-27T03:12:32.149726+00:00,4.1,104.01,2014.83
2026-05-27T03:12:32.843480+00:00,4.2,104.02,2014.83
2026-05-27T03:12:33.554854+00:00,5.4,104.10,2014.83
2026-05-27T03:12:34.234160+00:00,4.8,104.11,2014.83
2026-05-27T03:12:34.939113+00:00,4.4,104.10,2014.83
2026-05-27T03:12:35.648856+00:00,5.2,104.07,2014.83
2026-05-27T03:12:36.355510+00:00,4.5,104.04,2014.83
2026-05-27T03:12:37.060092+00:00,4.1,104.08,2014.83
2026-05-27T03:12:37.755693+00:00,5.2,104.41,2014.83
2026-05-27T03:12:38.488920+00:00,4.4,105.31,2014.83
2026-05-27T03:12:39.174461+00:00,5.9,105.54,2014.83
2026-05-27T03:12:39.870398+00:00,4.9,105.58,2014.83
2026-05-27T03:12:40.581372+00:00,4.3,105.60,2014.83
2026-05-27T03:12:41.373777+00:00,3.3,105.82,2014.83
2026-05-27T03:12:42.270116+00:00,4.7,105.97,2014.83
2026-05-27T03:12:43.158046+00:00,4.6,106.16,2014.83
2026-05-27T03:12:43.971623+00:00,4.6,106.43,2014.83
2026-05-27T03:12:44.789792+00:00,5.2,106.84,2014.83
2026-05-27T03:12:45.610570+00:00,4.4,107.19,2014.83
2026-05-27T03:12:46.414033+00:00,4.5,107.54,2014.83
2026-05-27T03:12:47.228206+00:00,4.2,107.89,2014.83
2026-05-27T03:12:48.046025+00:00,6.6,108.28,2014.83
2026-05-27T03:12:48.883478+00:00,2.7,108.55,2014.83
2026-05-27T03:12:49.679806+00:00,1.7,108.64,2014.83
2026-05-27T03:12:50.463235+00:00,2.1,108.66,2014.83
2026-05-27T03:12:51.270246+00:00,3.6,108.71,2014.83
2026-05-27T03:12:52.154979+00:00,2.0,108.79,2014.83
2026-05-27T03:12:52.941508+00:00,2.9,108.80,2014.83
2026-05-27T03:12:53.736618+00:00,3.1,108.82,2014.83
2026-05-27T03:12:54.555983+00:00,0.5,108.80,2014.83
2026-05-27T03:12:55.343179+00:00,1.6,108.84,2014.83
2026-05-27T03:12:56.142823+00:00,0.8,108.93,2014.83
2026-05-27T03:12:56.925211+00:00,0.5,108.91,2014.83
2026-05-27T03:12:57.702956+00:00,0.4,108.91,2014.83
2026-05-27T03:12:58.512141+00:00,2.3,108.89,2014.83
2026-05-27T03:12:59.274850+00:00,1.4,108.87,2014.83
2026-05-27T03:13:00.064348+00:00,3.6,108.85,2014.83
2026-05-27T03:13:00.849998+00:00,0.5,108.84,2014.83
2026-05-27T03:13:01.642066+00:00,0.9,108.86,2014.83
2026-05-27T03:13:02.442891+00:00,1.7,108.84,2014.83
2026-05-27T03:13:03.223122+00:00,3.0,108.82,2014.83
2026-05-27T03:13:03.994409+00:00,4.9,108.80,2014.83
2026-05-27T03:13:04.771484+00:00,0.6,108.80,2014.83
2026-05-27T03:13:05.569892+00:00,6.2,109.23,2014.83
2026-05-27T03:13:06.416481+00:00,7.1,109.25,2014.83
2026-05-27T03:13:07.250916+00:00,7.2,109.25,2014.83
2026-05-27T03:13:08.092540+00:00,7.5,109.25,2014.83
2026-05-27T03:13:08.925959+00:00,8.4,109.24,2014.83
2026-05-27T03:13:09.786121+00:00,6.5,109.22,2014.83
2026-05-27T03:13:10.640938+00:00,7.1,109.21,2014.83
2026-05-27T03:13:11.495069+00:00,6.8,109.27,2014.83
2026-05-27T03:13:12.323222+00:00,6.8,109.26,2014.83
2026-05-27T03:13:13.160341+00:00,7.3,109.26,2014.83
2026-05-27T03:13:14.000764+00:00,6.8,109.26,2014.83
2026-05-27T03:13:14.850257+00:00,6.7,109.20,2014.83
2026-05-27T03:13:15.685041+00:00,6.5,109.22,2014.83
2026-05-27T03:13:16.501810+00:00,6.7,109.22,2014.83
2026-05-27T03:13:17.302040+00:00,3.5,109.21,2014.83
2026-05-27T03:13:18.100623+00:00,10.5,109.59,2014.83
2026-05-27T03:13:18.922636+00:00,7.5,109.69,2014.83
2026-05-27T03:13:19.717247+00:00,7.7,109.67,2014.83
2026-05-27T03:13:20.516701+00:00,7.6,109.65,2014.83
2026-05-27T03:13:21.340878+00:00,7.6,109.65,2014.83
2026-05-27T03:13:22.170091+00:00,7.1,109.70,2014.83
2026-05-27T03:13:22.989200+00:00,9.3,109.71,2014.83
2026-05-27T03:13:23.797403+00:00,9.8,109.69,2014.83
2026-05-27T03:13:24.623776+00:00,7.7,109.66,2014.83
2026-05-27T03:13:25.438707+00:00,8.2,109.68,2014.83
2026-05-27T03:13:26.245386+00:00,7.6,109.73,2014.83
2026-05-27T03:13:27.065975+00:00,7.2,109.71,2014.83
2026-05-27T03:13:27.885287+00:00,7.7,109.69,2014.83
2026-05-27T03:13:28.711937+00:00,7.1,109.69,2014.83
2026-05-27T03:13:29.515374+00:00,7.1,109.67,2014.83
2026-05-27T03:13:30.313103+00:00,9.0,109.66,2014.83
2026-05-27T03:13:31.116557+00:00,5.9,109.65,2014.83
2026-05-27T03:13:31.899752+00:00,4.0,109.62,2014.83
2026-05-27T03:13:32.687804+00:00,12.0,109.62,2014.83
2026-05-27T03:13:33.560583+00:00,13.7,109.72,2014.83
2026-05-27T03:13:34.416434+00:00,12.0,109.77,2014.83
2026-05-27T03:13:35.281634+00:00,11.9,109.77,2014.83
2026-05-27T03:13:36.153476+00:00,12.5,109.72,2014.83
2026-05-27T03:13:37.001232+00:00,8.4,109.70,2014.83
2026-05-27T03:13:37.833864+00:00,6.8,109.73,2014.83
2026-05-27T03:13:38.663653+00:00,7.9,109.73,2014.83
2026-05-27T03:13:39.529688+00:00,6.7,109.71,2014.83
2026-05-27T03:13:40.344977+00:00,8.3,109.72,2014.83
2026-05-27T03:13:41.162053+00:00,6.9,109.79,2014.83
2026-05-27T03:13:41.987783+00:00,6.5,109.76,2014.83
2026-05-27T03:13:42.827171+00:00,6.6,109.77,2014.83
2026-05-27T03:13:43.671983+00:00,6.6,109.80,2014.83
2026-05-27T03:13:44.521471+00:00,8.0,109.74,2014.83
2026-05-27T03:13:45.355616+00:00,7.1,109.73,2014.83
2026-05-27T03:13:46.170521+00:00,5.5,109.72,2014.83
2026-05-27T03:13:46.968187+00:00,4.2,109.66,2014.83
2026-05-27T03:13:47.796060+00:00,9.0,109.65,2014.83
2026-05-27T03:13:48.641363+00:00,9.8,109.70,2014.83
2026-05-27T03:13:49.434616+00:00,9.8,109.70,2014.83
2026-05-27T03:13:50.253031+00:00,8.9,109.71,2014.83
2026-05-27T03:13:51.073388+00:00,10.2,109.69,2014.83
2026-05-27T03:13:51.893137+00:00,8.1,109.72,2014.83
2026-05-27T03:13:52.700539+00:00,7.4,109.73,2014.83
2026-05-27T03:13:53.531864+00:00,5.7,109.71,2014.83
2026-05-27T03:13:54.326247+00:00,4.5,109.71,2014.83
2026-05-27T03:13:55.147504+00:00,12.0,109.68,2014.83
2026-05-27T03:13:56.013366+00:00,12.3,109.74,2014.83
2026-05-27T03:13:56.881006+00:00,11.9,109.75,2014.83
2026-05-27T03:13:57.742255+00:00,11.1,109.73,2014.83
2026-05-27T03:13:58.597172+00:00,9.7,109.77,2014.83
2026-05-27T03:13:59.445314+00:00,8.2,109.73,2014.83
2026-05-27T03:14:00.257874+00:00,8.6,109.75,2014.83
2026-05-27T03:14:01.102055+00:00,7.0,109.71,2014.83
2026-05-27T03:14:01.961055+00:00,6.7,109.67,2014.83
2026-05-27T03:14:02.800982+00:00,8.4,109.66,2014.83
2026-05-27T03:14:03.684357+00:00,6.9,109.77,2014.83
2026-05-27T03:14:04.525048+00:00,7.1,109.75,2014.83
2026-05-27T03:14:05.357350+00:00,7.1,109.76,2014.83
2026-05-27T03:14:06.227099+00:00,7.5,109.72,2014.83
2026-05-27T03:14:07.074475+00:00,6.5,109.75,2014.83
2026-05-27T03:14:07.918686+00:00,6.6,109.77,2014.83
2026-05-27T03:14:08.731436+00:00,5.9,109.78,2014.83
2026-05-27T03:14:09.538421+00:00,5.7,109.79,2014.83
2026-05-27T03:14:10.369266+00:00,8.2,109.78,2014.83
2026-05-27T03:14:11.182507+00:00,8.8,109.84,2014.83
2026-05-27T03:14:12.009651+00:00,7.2,109.81,2014.83
2026-05-27T03:14:12.836744+00:00,7.6,109.82,2014.83
2026-05-27T03:14:13.642624+00:00,7.3,109.82,2014.83
2026-05-27T03:14:14.459914+00:00,8.1,109.81,2014.83
2026-05-27T03:14:15.258029+00:00,9.6,109.77,2014.83
2026-05-27T03:14:16.052165+00:00,6.7,109.75,2014.83
2026-05-27T03:14:16.873144+00:00,6.0,109.74,2014.83
2026-05-27T03:14:17.673473+00:00,4.4,109.73,2014.83
2026-05-27T03:14:18.499495+00:00,12.4,109.81,2014.83
2026-05-27T03:14:19.337747+00:00,12.9,109.81,2014.83
2026-05-27T03:14:20.207086+00:00,11.5,109.80,2014.83
2026-05-27T03:14:21.045867+00:00,13.5,109.81,2014.83
2026-05-27T03:14:21.916284+00:00,8.1,109.78,2014.83
2026-05-27T03:14:22.720720+00:00,6.2,109.77,2014.83
2026-05-27T03:14:23.554419+00:00,4.5,109.81,2014.83
2026-05-27T03:14:24.345153+00:00,4.5,109.73,2014.83
2026-05-27T03:14:25.158903+00:00,5.3,109.72,2014.83
2026-05-27T03:14:25.969354+00:00,5.0,108.25,2014.83
2026-05-27T03:14:26.795105+00:00,5.8,108.18,2014.83
2026-05-27T03:14:27.600562+00:00,4.2,108.15,2014.83
2026-05-27T03:14:28.406414+00:00,4.6,108.13,2014.83
2026-05-27T03:14:29.225540+00:00,4.7,108.12,2014.83
2026-05-27T03:14:30.020684+00:00,5.6,108.09,2014.83
2026-05-27T03:14:30.851337+00:00,4.3,108.08,2014.83
2026-05-27T03:14:31.984026+00:00,2.7,90.37,2014.83
