timestamp,cpu_util_pct,mem_used_gb,mem_total_gb
2026-05-27T04:06:56.614528+00:00,1.1,89.50,2014.83
2026-05-27T04:06:57.774387+00:00,1.6,89.50,2014.83
2026-05-27T04:06:58.957860+00:00,1.4,89.45,2014.83
2026-05-27T04:07:00.144101+00:00,1.8,89.41,2014.83
2026-05-27T04:07:01.321163+00:00,1.7,89.47,2014.83
2026-05-27T04:07:02.489904+00:00,16.8,89.57,2014.83
2026-05-27T04:07:03.660327+00:00,1.9,89.55,2014.83
2026-05-27T04:07:04.845512+00:00,1.6,89.67,2014.83
2026-05-27T04:07:06.003742+00:00,2.0,89.76,2014.83
2026-05-27T04:07:07.615450+00:00,2.1,89.92,2014.83
2026-05-27T04:07:08.775274+00:00,1.7,90.17,2014.83
2026-05-27T04:07:09.968586+00:00,1.2,90.24,2014.83
2026-05-27T04:07:11.141604+00:00,1.3,90.27,2014.83
2026-05-27T04:07:12.299687+00:00,1.1,90.36,2014.83
2026-05-27T04:07:13.485336+00:00,2.0,90.43,2014.83
2026-05-27T04:07:14.707735+00:00,1.6,90.36,2014.83
2026-05-27T04:07:15.915910+00:00,3.4,91.15,2014.83
2026-05-27T04:07:17.087125+00:00,3.7,91.46,2014.83
2026-05-27T04:07:18.259243+00:00,2.4,91.73,2014.83
2026-05-27T04:07:19.701467+00:00,3.2,91.82,2014.83
2026-05-27T04:07:20.886790+00:00,4.6,91.95,2014.83
2026-05-27T04:07:22.070925+00:00,2.4,92.23,2014.83
2026-05-27T04:07:23.233441+00:00,2.9,92.39,2014.83
2026-05-27T04:07:24.418847+00:00,4.7,92.60,2014.83
2026-05-27T04:07:25.579925+00:00,1.8,92.75,2014.83
2026-05-27T04:07:27.325734+00:00,2.7,93.65,2014.83
2026-05-27T04:07:28.478129+00:00,2.3,94.61,2014.83
2026-05-27T04:07:29.794762+00:00,2.8,94.74,2014.83
2026-05-27T04:07:30.976095+00:00,4.5,95.32,2014.83
2026-05-27T04:07:32.135987+00:00,3.5,95.35,2014.83
2026-05-27T04:07:33.304848+00:00,3.3,95.40,2014.83
2026-05-27T04:07:34.457232+00:00,2.8,95.49,2014.83
2026-05-27T04:07:35.636093+00:00,3.7,95.46,2014.83
2026-05-27T04:07:36.813405+00:00,2.6,95.49,2014.83
2026-05-27T04:07:37.976681+00:00,3.5,95.56,2014.83
2026-05-27T04:07:39.234862+00:00,3.4,95.87,2014.83
2026-05-27T04:07:40.403376+00:00,3.0,95.91,2014.83
2026-05-27T04:07:41.571863+00:00,2.4,95.89,2014.83
2026-05-27T04:07:42.740566+00:00,3.0,95.97,2014.83
2026-05-27T04:07:43.927197+00:00,2.7,95.90,2014.83
2026-05-27T04:07:45.085682+00:00,3.3,95.89,2014.83
2026-05-27T04:07:46.272591+00:00,2.8,95.88,2014.83
2026-05-27T04:07:47.459903+00:00,3.4,95.89,2014.83
2026-05-27T04:07:48.643727+00:00,3.0,95.96,2014.83
2026-05-27T04:07:49.815246+00:00,3.4,96.00,2014.83
2026-05-27T04:07:50.999659+00:00,2.7,96.04,2014.83
2026-05-27T04:07:52.170047+00:00,2.9,96.03,2014.83
2026-05-27T04:07:53.353087+00:00,2.8,96.07,2014.83
2026-05-27T04:07:54.523316+00:00,3.7,96.11,2014.83
2026-05-27T04:07:55.680639+00:00,3.5,96.15,2014.83
2026-05-27T04:07:56.850851+00:00,2.6,96.21,2014.83
2026-05-27T04:07:58.035640+00:00,3.3,96.22,2014.83
2026-05-27T04:07:59.194473+00:00,2.8,96.15,2014.83
2026-05-27T04:08:00.352787+00:00,3.4,96.14,2014.83
2026-05-27T04:08:01.511587+00:00,3.6,96.11,2014.83
2026-05-27T04:08:02.696986+00:00,3.1,96.19,2014.83
2026-05-27T04:08:03.863961+00:00,3.6,96.23,2014.83
2026-05-27T04:08:05.059366+00:00,3.0,96.73,2014.83
2026-05-27T04:08:06.240015+00:00,3.0,96.87,2014.83
2026-05-27T04:08:07.412077+00:00,2.9,96.89,2014.83
2026-05-27T04:08:08.569683+00:00,3.1,96.91,2014.83
2026-05-27T04:08:09.742570+00:00,4.5,97.33,2014.83
2026-05-27T04:08:10.913447+00:00,2.6,97.41,2014.83
2026-05-27T04:08:12.083522+00:00,2.3,97.81,2014.83
2026-05-27T04:08:13.241255+00:00,3.6,97.03,2014.83
2026-05-27T04:08:14.398803+00:00,2.5,97.05,2014.83
2026-05-27T04:08:15.556290+00:00,3.5,97.03,2014.83
2026-05-27T04:08:16.800693+00:00,2.9,97.19,2014.83
2026-05-27T04:08:18.031854+00:00,2.8,97.47,2014.83
2026-05-27T04:08:19.241194+00:00,2.3,97.62,2014.83
2026-05-27T04:08:20.434730+00:00,3.0,97.66,2014.83
2026-05-27T04:08:21.660126+00:00,1.8,97.77,2014.83
2026-05-27T04:08:22.886529+00:00,1.8,97.79,2014.83
2026-05-27T04:08:24.102601+00:00,1.5,97.77,2014.83
2026-05-27T04:08:25.307191+00:00,0.9,97.83,2014.83
2026-05-27T04:08:26.512562+00:00,2.7,98.24,2014.83
2026-05-27T04:08:27.730117+00:00,3.9,98.26,2014.83
2026-05-27T04:08:28.924770+00:00,2.0,98.25,2014.83
2026-05-27T04:08:30.117522+00:00,1.4,98.17,2014.83
2026-05-27T04:08:31.343571+00:00,0.5,98.16,2014.83
2026-05-27T04:08:32.536120+00:00,1.5,98.25,2014.83
2026-05-27T04:08:33.754226+00:00,4.3,98.49,2014.83
2026-05-27T04:08:34.973858+00:00,23.4,98.53,2014.83
2026-05-27T04:08:36.177602+00:00,24.4,98.75,2014.83
2026-05-27T04:08:37.382859+00:00,3.8,98.41,2014.83
2026-05-27T04:08:38.601217+00:00,0.8,97.71,2014.83
2026-05-27T04:08:39.805162+00:00,2.1,97.61,2014.83
2026-05-27T04:08:40.997278+00:00,0.6,97.63,2014.83
2026-05-27T04:08:42.214915+00:00,1.6,89.82,2014.83
