timestamp,cpu_util_pct,mem_used_gb,mem_total_gb
2026-05-27T03:50:18.043046+00:00,1.8,89.05,2014.83
2026-05-27T03:50:18.714635+00:00,1.4,89.14,2014.83
2026-05-27T03:50:19.384664+00:00,2.3,89.26,2014.83
2026-05-27T03:50:20.057005+00:00,2.3,89.29,2014.83
2026-05-27T03:50:20.743052+00:00,1.6,89.36,2014.83
2026-05-27T03:50:21.524721+00:00,2.6,89.42,2014.83
2026-05-27T03:50:22.183930+00:00,1.3,89.43,2014.83
2026-05-27T03:50:22.843999+00:00,2.4,89.50,2014.83
2026-05-27T03:50:23.533930+00:00,1.7,89.59,2014.83
2026-05-27T03:50:24.193490+00:00,4.3,89.71,2014.83
2026-05-27T03:50:24.878853+00:00,1.5,89.72,2014.83
2026-05-27T03:50:25.550919+00:00,1.5,89.74,2014.83
2026-05-27T03:50:26.227881+00:00,1.9,89.80,2014.83
2026-05-27T03:50:26.888585+00:00,2.1,89.91,2014.83
2026-05-27T03:50:27.572980+00:00,1.7,89.92,2014.83
2026-05-27T03:50:28.364380+00:00,2.5,89.99,2014.83
2026-05-27T03:50:29.858427+00:00,1.0,90.12,2014.83
2026-05-27T03:50:30.736103+00:00,2.8,90.22,2014.83
2026-05-27T03:50:31.410322+00:00,2.0,90.41,2014.83
2026-05-27T03:50:32.100533+00:00,3.1,90.74,2014.83
2026-05-27T03:50:32.778237+00:00,1.7,90.83,2014.83
2026-05-27T03:50:33.443575+00:00,2.1,90.92,2014.83
2026-05-27T03:50:34.130725+00:00,3.3,90.99,2014.83
2026-05-27T03:50:34.793131+00:00,2.4,91.08,2014.83
2026-05-27T03:50:35.456327+00:00,2.9,91.10,2014.83
2026-05-27T03:50:36.131719+00:00,5.3,91.11,2014.83
2026-05-27T03:50:36.807913+00:00,1.8,91.22,2014.83
2026-05-27T03:50:37.546147+00:00,1.2,91.28,2014.83
2026-05-27T03:50:38.262078+00:00,2.3,91.36,2014.83
2026-05-27T03:50:38.967607+00:00,1.9,91.85,2014.83
2026-05-27T03:50:39.642502+00:00,5.6,93.03,2014.83
2026-05-27T03:50:40.303876+00:00,4.9,93.40,2014.83
2026-05-27T03:50:40.979875+00:00,4.2,93.78,2014.83
2026-05-27T03:50:41.656374+00:00,4.5,94.04,2014.83
2026-05-27T03:50:42.957346+00:00,1.3,94.22,2014.83
2026-05-27T03:50:44.273414+00:00,3.9,94.35,2014.83
2026-05-27T03:50:44.936246+00:00,4.5,94.37,2014.83
2026-05-27T03:50:45.623245+00:00,9.7,94.58,2014.83
2026-05-27T03:50:46.287163+00:00,4.5,94.76,2014.83
2026-05-27T03:50:46.962002+00:00,5.0,95.12,2014.83
2026-05-27T03:50:47.629249+00:00,3.7,95.21,2014.83
2026-05-27T03:50:48.438823+00:00,7.2,95.44,2014.83
2026-05-27T03:50:49.114063+00:00,4.4,95.69,2014.83
2026-05-27T03:50:49.801377+00:00,4.4,95.93,2014.83
2026-05-27T03:50:50.459324+00:00,2.2,95.99,2014.83
2026-05-27T03:50:52.430600+00:00,1.7,96.52,2014.83
2026-05-27T03:50:53.069866+00:00,7.2,96.86,2014.83
2026-05-27T03:50:53.893228+00:00,3.1,99.44,2014.83
2026-05-27T03:50:55.030863+00:00,4.6,99.81,2014.83
2026-05-27T03:50:55.986192+00:00,4.8,99.91,2014.83
2026-05-27T03:50:56.635064+00:00,4.5,100.46,2014.83
2026-05-27T03:50:57.294872+00:00,4.3,101.60,2014.83
2026-05-27T03:50:58.053184+00:00,7.3,101.97,2014.83
2026-05-27T03:50:58.757650+00:00,9.4,102.23,2014.83
2026-05-27T03:50:59.461429+00:00,10.0,102.15,2014.83
2026-05-27T03:51:00.155361+00:00,9.5,102.48,2014.83
2026-05-27T03:51:00.845919+00:00,9.6,102.17,2014.83
2026-05-27T03:51:01.558064+00:00,8.7,102.48,2014.83
2026-05-27T03:51:02.260294+00:00,10.7,102.37,2014.83
2026-05-27T03:51:02.965198+00:00,6.5,102.40,2014.83
2026-05-27T03:51:03.666240+00:00,3.7,102.40,2014.83
