ts,group,domain,llc_occ_MB,mbm_total_GBps,mbm_local_GBps
2.0,harvest,mon_L3_00,241.2,17.14,0.96
2.0,harvest,mon_L3_01,222.5,17.75,17.75
4.0,harvest,mon_L3_00,261.3,17.46,1.04
4.0,harvest,mon_L3_01,261.4,17.66,17.66
6.0,harvest,mon_L3_00,234.1,17.61,1.04
6.0,harvest,mon_L3_01,243.0,17.97,17.96
8.0,harvest,mon_L3_00,251.0,17.00,1.03
8.0,harvest,mon_L3_01,243.8,18.31,18.31
10.0,harvest,mon_L3_00,248.1,16.18,0.95
10.0,harvest,mon_L3_01,238.7,18.20,18.20
12.0,harvest,mon_L3_00,243.5,16.16,0.97
12.0,harvest,mon_L3_01,242.2,18.13,18.13
14.0,harvest,mon_L3_00,244.7,16.12,0.95
14.0,harvest,mon_L3_01,233.8,18.13,18.13
16.0,harvest,mon_L3_00,236.2,16.13,0.95
16.0,harvest,mon_L3_01,238.1,18.05,18.05
18.0,harvest,mon_L3_00,229.8,16.15,0.97
18.0,harvest,mon_L3_01,234.1,18.01,18.01
20.0,harvest,mon_L3_00,229.9,16.20,1.01
20.0,harvest,mon_L3_01,237.0,17.92,17.92
22.0,harvest,mon_L3_00,246.8,16.25,1.00
22.0,harvest,mon_L3_01,245.5,16.68,16.68
24.0,harvest,mon_L3_00,235.5,16.21,0.99
24.0,harvest,mon_L3_01,242.7,16.60,16.60
26.0,harvest,mon_L3_00,236.6,16.18,1.00
26.0,harvest,mon_L3_01,246.7,16.56,16.56
28.0,harvest,mon_L3_00,235.4,16.21,0.98
28.0,harvest,mon_L3_01,240.1,16.61,16.61
30.0,harvest,mon_L3_00,241.3,16.11,0.99
30.0,harvest,mon_L3_01,247.9,16.53,16.53
32.0,harvest,mon_L3_00,242.5,16.22,1.03
32.0,harvest,mon_L3_01,245.0,16.59,16.59
34.0,harvest,mon_L3_00,240.4,16.23,1.00
34.0,harvest,mon_L3_01,245.0,16.65,16.65
36.0,harvest,mon_L3_00,232.7,16.17,1.01
36.0,harvest,mon_L3_01,248.3,16.59,16.59
38.0,harvest,mon_L3_00,257.3,16.23,1.00
38.0,harvest,mon_L3_01,250.7,16.58,16.58
40.0,harvest,mon_L3_00,245.2,16.19,1.00
40.0,harvest,mon_L3_01,248.8,16.63,16.63
42.0,harvest,mon_L3_00,257.1,16.18,1.00
42.0,harvest,mon_L3_01,245.5,16.63,16.63
44.0,harvest,mon_L3_00,260.0,16.20,1.00
44.0,harvest,mon_L3_01,246.9,16.64,16.64
46.0,harvest,mon_L3_00,257.9,16.20,1.01
46.0,harvest,mon_L3_01,249.3,16.64,16.64
48.0,harvest,mon_L3_00,256.8,16.28,1.00
48.0,harvest,mon_L3_01,247.0,16.69,16.69
50.0,harvest,mon_L3_00,259.2,16.18,1.01
50.0,harvest,mon_L3_01,249.8,16.67,16.67
52.0,harvest,mon_L3_00,252.8,16.25,1.02
52.0,harvest,mon_L3_01,244.9,16.64,16.64
54.0,harvest,mon_L3_00,257.5,16.18,1.01
54.0,harvest,mon_L3_01,248.0,16.59,16.59
56.0,harvest,mon_L3_00,252.7,16.22,1.01
56.0,harvest,mon_L3_01,244.7,16.70,16.70
58.0,harvest,mon_L3_00,247.9,16.21,0.98
58.0,harvest,mon_L3_01,247.7,16.70,16.70
60.0,harvest,mon_L3_00,261.2,16.23,1.00
60.0,harvest,mon_L3_01,249.3,16.68,16.68
62.0,harvest,mon_L3_00,256.2,16.18,1.01
62.0,harvest,mon_L3_01,241.6,16.64,16.64
64.0,harvest,mon_L3_00,253.7,16.21,1.04
64.0,harvest,mon_L3_01,241.1,16.68,16.68
66.0,harvest,mon_L3_00,266.0,16.14,1.01
