ts,group,domain,llc_occ_MB,mbm_total_GBps,mbm_local_GBps
2.0,harvest,mon_L3_00,287.9,67.44,1.46
2.0,harvest,mon_L3_01,292.3,85.52,85.52
4.0,harvest,mon_L3_00,288.5,67.48,1.52
4.0,harvest,mon_L3_01,291.2,85.80,85.80
6.0,harvest,mon_L3_00,282.3,66.39,1.43
6.0,harvest,mon_L3_01,272.9,86.58,86.58
8.0,harvest,mon_L3_00,277.0,66.28,1.50
8.0,harvest,mon_L3_01,276.3,86.99,86.99
10.0,harvest,mon_L3_00,278.2,66.39,1.48
10.0,harvest,mon_L3_01,274.6,86.75,86.75
12.0,harvest,mon_L3_00,278.8,67.06,1.52
12.0,harvest,mon_L3_01,277.7,84.63,84.63
14.0,harvest,mon_L3_00,280.2,67.34,1.53
14.0,harvest,mon_L3_01,278.0,84.70,84.70
16.0,harvest,mon_L3_00,278.9,67.12,1.60
16.0,harvest,mon_L3_01,280.2,84.56,84.56
18.0,harvest,mon_L3_00,281.2,67.07,1.58
18.0,harvest,mon_L3_01,278.1,84.84,84.83
20.0,harvest,mon_L3_00,278.9,67.10,1.51
20.0,harvest,mon_L3_01,277.3,84.84,84.84
22.0,harvest,mon_L3_00,275.2,67.25,1.44
22.0,harvest,mon_L3_01,279.6,84.57,84.57
24.0,harvest,mon_L3_00,269.3,67.41,1.46
24.0,harvest,mon_L3_01,276.6,84.67,84.67
26.0,harvest,mon_L3_00,266.5,67.13,1.55
26.0,harvest,mon_L3_01,281.1,84.10,84.10
28.0,harvest,mon_L3_00,272.1,67.17,1.47
28.0,harvest,mon_L3_01,277.5,84.35,84.35
30.0,harvest,mon_L3_00,268.4,67.21,1.56
30.0,harvest,mon_L3_01,276.6,84.27,84.27
32.0,harvest,mon_L3_00,272.0,67.14,1.52
32.0,harvest,mon_L3_01,279.1,84.39,84.39
34.0,harvest,mon_L3_00,278.6,67.03,1.52
34.0,harvest,mon_L3_01,277.3,84.43,84.43
36.0,harvest,mon_L3_00,264.8,67.06,1.51
36.0,harvest,mon_L3_01,279.4,84.20,84.20
38.0,harvest,mon_L3_00,278.8,67.08,1.58
38.0,harvest,mon_L3_01,275.9,84.56,84.56
40.0,harvest,mon_L3_00,271.2,67.09,1.53
40.0,harvest,mon_L3_01,279.8,84.61,84.61
42.0,harvest,mon_L3_00,274.1,67.05,1.55
42.0,harvest,mon_L3_01,279.5,84.08,84.08
44.0,harvest,mon_L3_00,271.5,67.05,1.51
44.0,harvest,mon_L3_01,281.7,84.37,84.37
46.0,harvest,mon_L3_00,268.0,67.05,1.46
46.0,harvest,mon_L3_01,278.7,84.15,84.15
48.0,harvest,mon_L3_00,272.8,67.22,1.50
48.0,harvest,mon_L3_01,283.6,83.92,83.92
50.0,harvest,mon_L3_00,276.9,67.23,1.53
50.0,harvest,mon_L3_01,278.3,84.38,84.38
52.0,harvest,mon_L3_00,281.6,67.35,1.52
52.0,harvest,mon_L3_01,281.4,84.65,84.65
54.0,harvest,mon_L3_00,280.4,67.35,1.52
54.0,harvest,mon_L3_01,279.4,84.91,84.90
56.0,harvest,mon_L3_00,276.9,67.11,1.58
56.0,harvest,mon_L3_01,277.5,84.44,84.44
58.0,harvest,mon_L3_00,278.1,67.22,1.53
58.0,harvest,mon_L3_01,281.6,84.81,84.81
60.0,harvest,mon_L3_00,275.0,67.21,1.54
60.0,harvest,mon_L3_01,278.3,84.74,84.74
62.0,harvest,mon_L3_00,280.4,67.20,1.51
62.0,harvest,mon_L3_01,280.3,84.90,84.90
64.0,harvest,mon_L3_00,270.1,67.28,1.56
64.0,harvest,mon_L3_01,278.8,84.65,84.65
66.0,harvest,mon_L3_00,278.7,67.35,1.48
66.0,harvest,mon_L3_01,283.6,84.66,84.66
68.0,harvest,mon_L3_00,278.2,67.32,1.54
68.0,harvest,mon_L3_01,280.1,84.79,84.79
70.0,harvest,mon_L3_00,279.7,67.14,1.54
70.0,harvest,mon_L3_01,278.6,84.82,84.82
72.0,harvest,mon_L3_00,278.1,67.22,1.50
72.0,harvest,mon_L3_01,277.1,84.80,84.80
74.0,harvest,mon_L3_00,281.4,67.33,1.51
74.0,harvest,mon_L3_01,277.7,84.90,84.90
76.0,harvest,mon_L3_00,281.6,67.29,1.53
76.0,harvest,mon_L3_01,277.1,84.68,84.68
78.0,harvest,mon_L3_00,278.4,67.22,1.49
78.0,harvest,mon_L3_01,278.8,84.82,84.82
80.0,harvest,mon_L3_00,276.4,67.21,1.53
80.0,harvest,mon_L3_01,278.2,84.59,84.59
82.0,harvest,mon_L3_00,278.0,67.25,1.48
82.0,harvest,mon_L3_01,277.1,84.66,84.66
84.0,harvest,mon_L3_00,282.2,67.40,1.54
84.0,harvest,mon_L3_01,279.6,84.71,84.71
86.0,harvest,mon_L3_00,280.8,67.25,1.53
86.0,harvest,mon_L3_01,274.7,84.66,84.65
88.0,harvest,mon_L3_00,280.0,67.31,1.52
88.0,harvest,mon_L3_01,278.1,84.70,84.70
90.0,harvest,mon_L3_00,277.1,67.34,1.48
90.0,harvest,mon_L3_01,278.0,84.76,84.76
92.0,harvest,mon_L3_00,274.5,67.21,1.49
92.0,harvest,mon_L3_01,281.0,84.71,84.71
94.0,harvest,mon_L3_00,278.7,67.32,1.54
94.0,harvest,mon_L3_01,278.0,84.60,84.60
96.0,harvest,mon_L3_00,280.5,67.35,1.55
96.0,harvest,mon_L3_01,274.3,84.76,84.76
98.0,harvest,mon_L3_00,278.9,67.29,1.48
98.0,harvest,mon_L3_01,281.0,84.85,84.85
100.0,harvest,mon_L3_00,278.7,67.37,1.53
100.0,harvest,mon_L3_01,278.7,84.91,84.90
102.0,harvest,mon_L3_00,268.6,67.34,1.55
102.0,harvest,mon_L3_01,278.2,84.58,84.58
104.0,harvest,mon_L3_00,277.7,67.12,1.50
104.0,harvest,mon_L3_01,275.3,84.78,84.78
106.0,harvest,mon_L3_00,272.5,67.11,1.48
106.0,harvest,mon_L3_01,281.7,84.46,84.46
108.0,harvest,mon_L3_00,277.3,67.15,1.54
108.0,harvest,mon_L3_01,280.0,84.66,84.66
110.0,harvest,mon_L3_00,268.2,67.04,1.50
110.0,harvest,mon_L3_01,277.1,84.08,84.08
112.0,harvest,mon_L3_00,275.5,67.10,1.50
112.0,harvest,mon_L3_01,281.5,84.00,84.00
114.0,harvest,mon_L3_00,270.7,67.19,1.55
114.0,harvest,mon_L3_01,281.2,84.23,84.23
116.0,harvest,mon_L3_00,274.1,67.23,1.53
116.0,harvest,mon_L3_01,283.4,84.22,84.22
118.0,harvest,mon_L3_00,269.1,67.23,1.54
118.0,harvest,mon_L3_01,280.8,84.27,84.27
120.0,harvest,mon_L3_00,274.5,67.23,1.55
120.0,harvest,mon_L3_01,279.4,84.38,84.38
122.0,harvest,mon_L3_00,274.9,67.21,1.53
122.0,harvest,mon_L3_01,282.2,84.47,84.47
124.0,harvest,mon_L3_00,268.9,67.22,1.52
124.0,harvest,mon_L3_01,281.1,84.21,84.21
126.0,harvest,mon_L3_00,279.5,67.21,1.53
126.0,harvest,mon_L3_01,280.0,84.00,84.00
128.0,harvest,mon_L3_00,270.8,67.24,1.52
128.0,harvest,mon_L3_01,263.2,84.72,84.72
130.0,harvest,mon_L3_00,277.6,67.14,1.52
130.0,harvest,mon_L3_01,281.0,84.77,84.77
132.0,harvest,mon_L3_00,281.7,67.25,1.53
132.0,harvest,mon_L3_01,281.2,84.79,84.79
134.0,harvest,mon_L3_00,275.6,67.29,1.49
134.0,harvest,mon_L3_01,280.9,84.81,84.81
136.0,harvest,mon_L3_00,273.6,67.18,1.47
136.0,harvest,mon_L3_01,280.5,84.70,84.70
138.0,harvest,mon_L3_00,276.7,67.23,1.49
138.0,harvest,mon_L3_01,280.8,84.69,84.69
140.0,harvest,mon_L3_00,280.9,67.39,1.51
140.0,harvest,mon_L3_01,276.0,84.66,84.66
142.0,harvest,mon_L3_00,280.8,67.18,1.45
142.0,harvest,mon_L3_01,278.7,84.69,84.69
144.0,harvest,mon_L3_00,282.1,67.34,1.53
144.0,harvest,mon_L3_01,278.7,84.88,84.88
146.0,harvest,mon_L3_00,274.9,67.03,1.52
146.0,harvest,mon_L3_01,281.2,84.62,84.61
148.0,harvest,mon_L3_00,276.9,67.28,1.56
148.0,harvest,mon_L3_01,281.1,84.67,84.67
150.0,harvest,mon_L3_00,268.4,67.22,1.52
150.0,harvest,mon_L3_01,280.4,84.87,84.87
152.0,harvest,mon_L3_00,278.7,67.35,1.51
152.0,harvest,mon_L3_01,278.4,84.73,84.73
154.0,harvest,mon_L3_00,277.6,67.21,1.51
154.0,harvest,mon_L3_01,277.6,84.70,84.70
156.0,harvest,mon_L3_00,279.3,67.20,1.56
156.0,harvest,mon_L3_01,282.0,84.68,84.68
158.0,harvest,mon_L3_00,273.9,67.21,1.54
158.0,harvest,mon_L3_01,276.7,84.76,84.76
160.0,harvest,mon_L3_00,278.6,67.19,1.52
160.0,harvest,mon_L3_01,281.4,84.80,84.80
162.0,harvest,mon_L3_00,278.6,67.12,1.55
162.0,harvest,mon_L3_01,278.7,84.46,84.46
164.0,harvest,mon_L3_00,276.1,67.18,1.50
164.0,harvest,mon_L3_01,278.4,84.80,84.80
166.0,harvest,mon_L3_00,277.6,67.12,1.51
166.0,harvest,mon_L3_01,273.8,84.70,84.70
168.0,harvest,mon_L3_00,280.1,67.15,1.55
168.0,harvest,mon_L3_01,280.1,84.36,84.36
170.0,harvest,mon_L3_00,268.6,67.21,1.53
170.0,harvest,mon_L3_01,279.5,84.66,84.66
172.0,harvest,mon_L3_00,277.0,67.21,1.45
172.0,harvest,mon_L3_01,284.3,84.24,84.24
174.0,harvest,mon_L3_00,273.9,67.12,1.59
174.0,harvest,mon_L3_01,278.1,84.41,84.41
176.0,harvest,mon_L3_00,276.8,67.16,1.52
176.0,harvest,mon_L3_01,280.8,84.35,84.35
178.0,harvest,mon_L3_00,280.4,67.19,1.53
178.0,harvest,mon_L3_01,280.3,84.73,84.73
180.0,harvest,mon_L3_00,279.6,67.17,1.51
180.0,harvest,mon_L3_01,278.8,84.82,84.82
182.0,harvest,mon_L3_00,274.9,67.25,1.57
182.0,harvest,mon_L3_01,283.1,84.70,84.70
184.0,harvest,mon_L3_00,277.4,67.09,1.54
184.0,harvest,mon_L3_01,280.9,84.67,84.67
186.0,harvest,mon_L3_00,271.8,67.17,1.52
186.0,harvest,mon_L3_01,277.0,84.31,84.31
188.0,harvest,mon_L3_00,271.6,66.99,1.53
188.0,harvest,mon_L3_01,281.0,84.33,84.33
190.0,harvest,mon_L3_00,268.6,67.10,1.56
190.0,harvest,mon_L3_01,278.6,84.15,84.15
192.0,harvest,mon_L3_00,272.8,67.05,1.55
192.0,harvest,mon_L3_01,278.1,84.27,84.27
194.0,harvest,mon_L3_00,271.1,67.10,1.57
194.0,harvest,mon_L3_01,279.1,84.41,84.41
196.0,harvest,mon_L3_00,269.3,66.99,1.54
196.0,harvest,mon_L3_01,276.8,84.32,84.32
198.0,harvest,mon_L3_00,271.8,67.20,1.54
198.0,harvest,mon_L3_01,277.9,84.20,84.20
200.0,harvest,mon_L3_00,271.2,67.11,1.54
200.0,harvest,mon_L3_01,277.7,84.13,84.13
202.0,harvest,mon_L3_00,273.8,67.10,1.54
202.0,harvest,mon_L3_01,277.7,84.19,84.19
204.0,harvest,mon_L3_00,268.6,67.33,1.51
204.0,harvest,mon_L3_01,279.1,84.20,84.20
206.0,harvest,mon_L3_00,276.3,67.31,1.54
206.0,harvest,mon_L3_01,277.7,84.64,84.64
208.0,harvest,mon_L3_00,278.3,67.42,1.53
208.0,harvest,mon_L3_01,277.6,85.04,85.04
210.0,harvest,mon_L3_00,280.2,67.24,1.53
210.0,harvest,mon_L3_01,278.9,85.03,85.03
212.1,harvest,mon_L3_00,281.0,67.25,1.52
212.1,harvest,mon_L3_01,280.7,84.69,84.69
214.1,harvest,mon_L3_00,278.3,67.21,1.49
214.1,harvest,mon_L3_01,279.6,84.90,84.90
216.1,harvest,mon_L3_00,276.3,67.44,1.48
216.1,harvest,mon_L3_01,279.5,85.04,85.04
218.1,harvest,mon_L3_00,275.4,67.25,1.52
218.1,harvest,mon_L3_01,281.0,85.14,85.14
220.1,harvest,mon_L3_00,276.8,67.38,1.51
220.1,harvest,mon_L3_01,280.9,85.15,85.15
222.1,harvest,mon_L3_00,279.4,67.43,1.53
222.1,harvest,mon_L3_01,280.1,85.02,85.02
224.1,harvest,mon_L3_00,278.6,67.17,1.57
224.1,harvest,mon_L3_01,280.8,85.09,85.09
226.1,harvest,mon_L3_00,280.8,67.26,1.53
226.1,harvest,mon_L3_01,279.3,85.18,85.18
228.1,harvest,mon_L3_00,276.8,67.26,1.53
228.1,harvest,mon_L3_01,279.6,85.09,85.09
230.1,harvest,mon_L3_00,274.8,67.31,1.50
230.1,harvest,mon_L3_01,279.6,85.14,85.14
232.1,harvest,mon_L3_00,262.0,67.26,1.50
232.1,harvest,mon_L3_01,274.8,85.18,85.18
