ts,group,domain,llc_occ_MB,mbm_total_GBps,mbm_local_GBps
2.0,harvest,mon_L3_00,249.4,17.72,4.06
2.0,harvest,mon_L3_01,247.7,17.76,13.90
4.0,harvest,mon_L3_00,284.4,17.66,3.98
4.0,harvest,mon_L3_01,278.3,16.78,13.25
6.0,harvest,mon_L3_00,236.0,17.16,3.85
6.0,harvest,mon_L3_01,220.0,16.52,12.98
8.0,harvest,mon_L3_00,252.9,16.59,3.75
8.0,harvest,mon_L3_01,242.9,16.72,13.21
10.0,harvest,mon_L3_00,243.5,16.67,3.78
10.0,harvest,mon_L3_01,242.6,16.69,13.18
12.0,harvest,mon_L3_00,242.2,16.56,3.70
12.0,harvest,mon_L3_01,238.4,16.70,13.14
14.0,harvest,mon_L3_00,238.5,16.54,3.69
14.0,harvest,mon_L3_01,228.2,16.62,13.11
16.0,harvest,mon_L3_00,249.5,16.60,3.74
16.0,harvest,mon_L3_01,238.8,16.57,13.01
18.0,harvest,mon_L3_00,241.4,16.50,3.73
18.0,harvest,mon_L3_01,250.4,16.58,13.10
20.0,harvest,mon_L3_00,244.8,16.43,3.70
20.0,harvest,mon_L3_01,246.6,16.64,13.15
22.0,harvest,mon_L3_00,252.0,16.51,3.78
22.0,harvest,mon_L3_01,247.9,16.65,13.03
24.0,harvest,mon_L3_00,243.6,16.20,3.50
24.0,harvest,mon_L3_01,242.6,16.61,13.02
26.0,harvest,mon_L3_00,243.6,16.19,3.43
26.0,harvest,mon_L3_01,247.9,16.61,13.10
28.0,harvest,mon_L3_00,246.0,16.25,3.47
28.0,harvest,mon_L3_01,253.5,16.58,13.11
30.0,harvest,mon_L3_00,257.2,16.25,3.52
30.0,harvest,mon_L3_01,244.2,16.59,13.13
32.0,harvest,mon_L3_00,242.3,16.18,3.44
32.0,harvest,mon_L3_01,243.8,16.69,13.16
34.0,harvest,mon_L3_00,235.4,16.21,3.50
34.0,harvest,mon_L3_01,247.9,16.62,13.11
36.0,harvest,mon_L3_00,229.7,16.17,3.50
36.0,harvest,mon_L3_01,233.4,16.59,13.11
38.0,harvest,mon_L3_00,222.7,16.15,3.49
38.0,harvest,mon_L3_01,244.8,16.65,13.15
40.0,harvest,mon_L3_00,231.7,16.29,3.48
40.0,harvest,mon_L3_01,249.4,16.61,13.10
42.0,harvest,mon_L3_00,234.7,16.24,3.53
42.0,harvest,mon_L3_01,247.6,16.67,13.23
44.0,harvest,mon_L3_00,229.8,16.28,3.55
44.0,harvest,mon_L3_01,229.5,16.61,13.17
46.0,harvest,mon_L3_00,233.0,16.23,3.45
46.0,harvest,mon_L3_01,247.3,16.68,13.18
48.0,harvest,mon_L3_00,217.5,16.22,3.42
48.0,harvest,mon_L3_01,243.5,16.60,13.08
50.0,harvest,mon_L3_00,233.7,16.24,3.46
50.0,harvest,mon_L3_01,238.8,16.64,13.09
52.0,harvest,mon_L3_00,226.9,16.15,3.49
52.0,harvest,mon_L3_01,225.7,16.70,13.17
54.0,harvest,mon_L3_00,253.2,16.13,3.49
54.0,harvest,mon_L3_01,250.1,16.65,13.15
56.0,harvest,mon_L3_00,234.6,16.21,3.43
56.0,harvest,mon_L3_01,238.8,16.61,13.07
58.0,harvest,mon_L3_00,252.1,16.29,3.51
58.0,harvest,mon_L3_01,246.8,16.65,13.13
60.0,harvest,mon_L3_00,254.8,16.33,3.50
60.0,harvest,mon_L3_01,242.3,16.67,13.10
62.0,harvest,mon_L3_00,240.1,16.29,3.52
62.0,harvest,mon_L3_01,245.6,16.65,13.16
64.0,harvest,mon_L3_00,257.3,16.18,3.48
64.0,harvest,mon_L3_01,244.9,16.67,13.15
66.0,harvest,mon_L3_00,244.5,16.20,3.44
66.0,harvest,mon_L3_01,224.6,16.71,13.22
68.0,harvest,mon_L3_00,262.5,16.25,3.45
68.0,harvest,mon_L3_01,241.1,16.73,13.17
70.0,harvest,mon_L3_00,240.5,16.28,3.51
70.0,harvest,mon_L3_01,233.3,16.67,13.15
72.0,harvest,mon_L3_00,253.4,16.23,3.48
72.0,harvest,mon_L3_01,249.1,16.71,13.20
74.0,harvest,mon_L3_00,257.1,16.23,3.44
74.0,harvest,mon_L3_01,244.2,16.73,13.15
76.0,harvest,mon_L3_00,243.3,16.24,3.44
76.0,harvest,mon_L3_01,232.5,16.74,13.15
78.0,harvest,mon_L3_00,261.3,16.23,3.47
78.0,harvest,mon_L3_01,244.1,16.66,13.10
80.0,harvest,mon_L3_00,262.1,16.19,3.46
80.0,harvest,mon_L3_01,238.0,16.75,13.18
82.0,harvest,mon_L3_00,247.4,16.16,3.50
82.0,harvest,mon_L3_01,246.6,16.62,13.07
84.0,harvest,mon_L3_00,257.9,16.24,3.47
84.0,harvest,mon_L3_01,247.6,16.71,13.17
86.0,harvest,mon_L3_00,256.2,16.16,3.47
86.0,harvest,mon_L3_01,231.0,16.70,13.16
88.0,harvest,mon_L3_00,260.5,16.21,3.47
88.0,harvest,mon_L3_01,239.3,16.79,13.22
90.0,harvest,mon_L3_00,255.6,16.23,3.47
90.0,harvest,mon_L3_01,246.0,16.77,13.21
92.0,harvest,mon_L3_00,249.5,16.24,3.47
92.0,harvest,mon_L3_01,249.6,16.77,13.21
94.0,harvest,mon_L3_00,256.6,16.32,3.50
94.0,harvest,mon_L3_01,250.4,16.61,13.05
96.0,harvest,mon_L3_00,251.7,16.26,3.52
96.0,harvest,mon_L3_01,222.3,16.64,13.14
98.0,harvest,mon_L3_00,245.3,16.26,3.53
98.0,harvest,mon_L3_01,248.8,16.69,13.14
100.0,harvest,mon_L3_00,251.8,16.29,3.49
100.0,harvest,mon_L3_01,231.6,16.61,13.11
102.0,harvest,mon_L3_00,253.4,16.26,3.54
102.0,harvest,mon_L3_01,256.4,16.62,13.04
104.0,harvest,mon_L3_00,238.4,16.30,3.48
104.0,harvest,mon_L3_01,229.6,16.68,13.12
106.0,harvest,mon_L3_00,249.3,16.27,3.51
106.0,harvest,mon_L3_01,233.4,16.72,13.12
108.0,harvest,mon_L3_00,236.7,16.26,3.45
108.0,harvest,mon_L3_01,231.2,16.72,13.19
110.0,harvest,mon_L3_00,237.3,16.27,3.49
110.0,harvest,mon_L3_01,249.4,16.63,13.10
112.0,harvest,mon_L3_00,238.7,16.27,3.52
112.0,harvest,mon_L3_01,227.0,16.67,13.18
114.0,harvest,mon_L3_00,237.9,16.22,3.50
114.0,harvest,mon_L3_01,240.5,16.69,13.18
116.0,harvest,mon_L3_00,234.8,16.29,3.53
116.0,harvest,mon_L3_01,225.8,16.78,13.31
118.0,harvest,mon_L3_00,232.3,16.30,3.51
118.0,harvest,mon_L3_01,240.9,16.77,13.26
120.0,harvest,mon_L3_00,232.1,16.25,3.49
120.0,harvest,mon_L3_01,220.5,16.75,13.24
122.0,harvest,mon_L3_00,246.3,16.24,3.49
122.0,harvest,mon_L3_01,242.0,16.69,13.19
124.0,harvest,mon_L3_00,230.0,16.23,3.48
124.0,harvest,mon_L3_01,227.2,16.68,13.14
126.0,harvest,mon_L3_00,230.9,16.17,3.43
126.0,harvest,mon_L3_01,239.6,16.66,13.13
128.0,harvest,mon_L3_00,238.8,16.24,3.54
128.0,harvest,mon_L3_01,229.9,16.69,13.14
130.0,harvest,mon_L3_00,249.0,16.23,3.51
130.0,harvest,mon_L3_01,238.8,16.70,13.15
132.0,harvest,mon_L3_00,254.9,16.24,3.54
132.0,harvest,mon_L3_01,228.3,16.75,13.21
134.0,harvest,mon_L3_00,246.8,16.20,3.47
134.0,harvest,mon_L3_01,244.7,16.67,13.12
136.0,harvest,mon_L3_00,247.7,16.25,3.46
136.0,harvest,mon_L3_01,230.7,16.61,13.03
138.0,harvest,mon_L3_00,263.0,16.26,3.55
138.0,harvest,mon_L3_01,248.1,16.65,13.14
140.0,harvest,mon_L3_00,258.0,16.24,3.49
140.0,harvest,mon_L3_01,234.1,16.65,13.14
142.0,harvest,mon_L3_00,256.9,16.28,3.54
142.0,harvest,mon_L3_01,256.4,16.64,13.10
