ts,group,domain,llc_occ_MB,mbm_total_GBps,mbm_local_GBps
2.0,harvest,mon_L3_00,283.4,66.52,0.00
2.0,harvest,mon_L3_01,287.1,86.53,86.53
4.0,harvest,mon_L3_00,286.1,66.10,0.00
4.0,harvest,mon_L3_01,290.9,87.95,87.95
6.0,harvest,mon_L3_00,271.6,65.81,0.00
6.0,harvest,mon_L3_01,281.0,88.12,88.12
8.0,harvest,mon_L3_00,269.9,64.00,0.00
8.0,harvest,mon_L3_01,275.0,88.11,88.11
10.0,harvest,mon_L3_00,257.3,63.26,0.00
10.0,harvest,mon_L3_01,277.6,88.37,88.37
12.0,harvest,mon_L3_00,267.3,62.96,0.00
12.0,harvest,mon_L3_01,277.1,88.46,88.46
14.0,harvest,mon_L3_00,267.8,63.01,0.00
14.0,harvest,mon_L3_01,278.2,89.01,89.01
16.0,harvest,mon_L3_00,277.7,63.26,0.00
16.0,harvest,mon_L3_01,279.3,88.96,88.96
18.0,harvest,mon_L3_00,276.2,63.23,0.00
18.0,harvest,mon_L3_01,263.8,89.16,89.16
20.0,harvest,mon_L3_00,272.3,63.23,0.00
20.0,harvest,mon_L3_01,278.6,89.17,89.17
22.0,harvest,mon_L3_00,282.0,63.36,0.00
22.0,harvest,mon_L3_01,280.2,88.83,88.83
24.0,harvest,mon_L3_00,269.6,63.25,0.00
24.0,harvest,mon_L3_01,279.6,88.99,88.99
26.0,harvest,mon_L3_00,278.9,63.25,0.00
26.0,harvest,mon_L3_01,279.4,88.98,88.98
28.0,harvest,mon_L3_00,262.0,63.29,0.00
28.0,harvest,mon_L3_01,279.0,88.89,88.89
30.0,harvest,mon_L3_00,269.6,63.25,0.00
30.0,harvest,mon_L3_01,277.7,89.14,89.14
32.0,harvest,mon_L3_00,272.7,63.36,0.00
32.0,harvest,mon_L3_01,280.2,89.20,89.20
34.0,harvest,mon_L3_00,274.0,63.39,0.00
34.0,harvest,mon_L3_01,279.8,89.13,89.14
36.0,harvest,mon_L3_00,266.0,63.26,0.00
36.0,harvest,mon_L3_01,281.7,89.26,89.26
38.0,harvest,mon_L3_00,274.8,63.27,0.00
38.0,harvest,mon_L3_01,278.1,89.07,89.07
40.0,harvest,mon_L3_00,267.7,63.30,0.00
40.0,harvest,mon_L3_01,274.9,89.09,89.09
42.0,harvest,mon_L3_00,258.2,63.19,0.00
42.0,harvest,mon_L3_01,279.8,88.89,88.89
44.0,harvest,mon_L3_00,262.0,63.14,0.00
44.0,harvest,mon_L3_01,274.6,88.74,88.74
46.0,harvest,mon_L3_00,265.3,63.10,0.00
46.0,harvest,mon_L3_01,277.5,88.71,88.71
48.0,harvest,mon_L3_00,259.7,63.21,0.00
48.0,harvest,mon_L3_01,276.0,88.66,88.66
50.0,harvest,mon_L3_00,268.0,62.96,0.00
50.0,harvest,mon_L3_01,278.1,88.62,88.62
52.0,harvest,mon_L3_00,262.1,62.93,0.00
52.0,harvest,mon_L3_01,273.0,88.57,88.57
54.0,harvest,mon_L3_00,271.2,62.88,0.00
54.0,harvest,mon_L3_01,277.5,88.87,88.87
56.0,harvest,mon_L3_00,268.5,62.93,0.00
56.0,harvest,mon_L3_01,275.4,88.71,88.71
58.0,harvest,mon_L3_00,253.6,62.86,0.00
58.0,harvest,mon_L3_01,276.7,88.57,88.57
60.0,harvest,mon_L3_00,264.7,63.00,0.00
60.0,harvest,mon_L3_01,270.9,88.76,88.75
62.0,harvest,mon_L3_00,274.2,62.92,0.00
62.0,harvest,mon_L3_01,273.9,88.66,88.66
64.0,harvest,mon_L3_00,274.0,63.02,0.00
64.0,harvest,mon_L3_01,272.5,88.95,88.95
66.0,harvest,mon_L3_00,276.2,63.03,0.00
66.0,harvest,mon_L3_01,273.3,88.80,88.81
68.0,harvest,mon_L3_00,264.3,63.06,0.00
68.0,harvest,mon_L3_01,275.7,88.74,88.74
70.0,harvest,mon_L3_00,268.4,63.26,0.00
70.0,harvest,mon_L3_01,277.0,88.91,88.91
72.0,harvest,mon_L3_00,274.6,63.06,0.00
72.0,harvest,mon_L3_01,271.9,88.88,88.88
74.0,harvest,mon_L3_00,268.9,62.81,0.00
74.0,harvest,mon_L3_01,276.8,88.73,88.73
76.0,harvest,mon_L3_00,276.1,63.17,0.00
76.0,harvest,mon_L3_01,277.6,88.82,88.82
78.0,harvest,mon_L3_00,274.2,63.37,0.00
78.0,harvest,mon_L3_01,277.0,88.77,88.77
80.0,harvest,mon_L3_00,264.0,63.41,0.00
80.0,harvest,mon_L3_01,271.9,89.00,89.00
82.0,harvest,mon_L3_00,271.4,63.35,0.00
82.0,harvest,mon_L3_01,266.1,88.79,88.79
84.0,harvest,mon_L3_00,273.5,63.26,0.00
84.0,harvest,mon_L3_01,269.2,88.96,88.96
86.0,harvest,mon_L3_00,275.6,63.36,0.00
86.0,harvest,mon_L3_01,276.0,88.93,88.93
88.0,harvest,mon_L3_00,269.6,63.44,0.00
88.0,harvest,mon_L3_01,273.0,89.16,89.16
90.0,harvest,mon_L3_00,274.8,63.53,0.00
90.0,harvest,mon_L3_01,277.9,89.09,89.09
92.0,harvest,mon_L3_00,265.2,63.33,0.00
92.0,harvest,mon_L3_01,273.3,89.21,89.21
94.0,harvest,mon_L3_00,275.4,63.35,0.00
94.0,harvest,mon_L3_01,270.4,89.01,89.01
96.0,harvest,mon_L3_00,276.9,63.20,0.00
96.0,harvest,mon_L3_01,278.7,89.42,89.42
98.0,harvest,mon_L3_00,273.3,63.30,0.00
98.0,harvest,mon_L3_01,274.7,89.41,89.41
100.0,harvest,mon_L3_00,273.4,63.31,0.00
100.0,harvest,mon_L3_01,277.1,89.15,89.15
102.0,harvest,mon_L3_00,268.6,63.38,0.00
102.0,harvest,mon_L3_01,278.2,89.18,89.18
104.0,harvest,mon_L3_00,273.3,63.18,0.00
104.0,harvest,mon_L3_01,270.2,89.26,89.26
106.0,harvest,mon_L3_00,273.2,63.31,0.00
106.0,harvest,mon_L3_01,270.9,89.28,89.28
108.0,harvest,mon_L3_00,273.5,63.42,0.00
108.0,harvest,mon_L3_01,276.9,89.30,89.30
110.0,harvest,mon_L3_00,273.4,63.41,0.00
110.0,harvest,mon_L3_01,275.9,89.32,89.32
112.0,harvest,mon_L3_00,273.0,63.32,0.00
112.0,harvest,mon_L3_01,279.0,89.38,89.38
114.0,harvest,mon_L3_00,266.0,63.22,0.00
114.0,harvest,mon_L3_01,275.5,89.11,89.11
116.0,harvest,mon_L3_00,275.4,63.36,0.00
116.0,harvest,mon_L3_01,270.8,89.53,89.53
118.0,harvest,mon_L3_00,277.7,63.33,0.00
118.0,harvest,mon_L3_01,270.4,89.57,89.57
120.0,harvest,mon_L3_00,274.0,63.24,0.00
120.0,harvest,mon_L3_01,272.0,89.40,89.40
122.0,harvest,mon_L3_00,273.6,63.31,0.00
122.0,harvest,mon_L3_01,279.0,89.13,89.13
124.0,harvest,mon_L3_00,272.6,63.46,0.00
124.0,harvest,mon_L3_01,278.7,89.20,89.20
126.0,harvest,mon_L3_00,266.7,63.36,0.00
126.0,harvest,mon_L3_01,276.3,89.21,89.21
128.0,harvest,mon_L3_00,266.5,62.96,0.00
128.0,harvest,mon_L3_01,268.8,88.74,88.73
130.0,harvest,mon_L3_00,267.7,62.69,0.00
130.0,harvest,mon_L3_01,269.3,88.51,88.52
132.0,harvest,mon_L3_00,271.8,62.71,0.00
132.0,harvest,mon_L3_01,278.0,88.68,88.68
134.0,harvest,mon_L3_00,264.4,62.97,0.00
134.0,harvest,mon_L3_01,275.2,88.62,88.62
136.0,harvest,mon_L3_00,256.2,62.64,0.00
136.0,harvest,mon_L3_01,276.6,88.46,88.46
138.0,harvest,mon_L3_00,255.5,62.48,0.00
138.0,harvest,mon_L3_01,278.8,88.30,88.30
140.0,harvest,mon_L3_00,267.5,62.72,0.00
140.0,harvest,mon_L3_01,268.6,88.25,88.25
142.0,harvest,mon_L3_00,261.1,62.72,0.00
142.0,harvest,mon_L3_01,280.0,88.44,88.43
144.0,harvest,mon_L3_00,267.9,62.87,0.00
144.0,harvest,mon_L3_01,279.6,88.58,88.58
146.0,harvest,mon_L3_00,269.5,62.96,0.00
146.0,harvest,mon_L3_01,279.3,88.73,88.73
148.0,harvest,mon_L3_00,269.8,62.96,0.00
148.0,harvest,mon_L3_01,277.6,88.69,88.69
150.0,harvest,mon_L3_00,265.9,62.91,0.00
150.0,harvest,mon_L3_01,274.6,88.83,88.83
152.0,harvest,mon_L3_00,269.4,63.20,0.00
152.0,harvest,mon_L3_01,269.8,88.96,88.96
154.0,harvest,mon_L3_00,273.9,63.51,0.00
154.0,harvest,mon_L3_01,272.0,89.04,89.04
156.0,harvest,mon_L3_00,271.5,63.47,0.00
156.0,harvest,mon_L3_01,277.3,89.15,89.15
158.0,harvest,mon_L3_00,271.8,63.59,0.00
158.0,harvest,mon_L3_01,278.6,89.15,89.15
