ts,group,domain,llc_occ_MB,mbm_total_GBps,mbm_local_GBps
2.0,harvest,mon_L3_00,294.5,17.17,0.14
2.0,harvest,mon_L3_01,293.4,16.02,16.02
4.0,harvest,mon_L3_00,294.4,15.63,0.11
4.0,harvest,mon_L3_01,296.1,15.65,15.65
6.0,harvest,mon_L3_00,270.0,15.52,0.10
6.0,harvest,mon_L3_01,262.0,15.74,15.74
8.0,harvest,mon_L3_00,274.1,15.81,0.10
8.0,harvest,mon_L3_01,264.8,16.06,16.06
10.0,harvest,mon_L3_00,274.0,15.79,0.10
10.0,harvest,mon_L3_01,268.0,16.03,16.03
12.0,harvest,mon_L3_00,268.1,15.74,0.10
12.0,harvest,mon_L3_01,271.5,15.98,15.97
14.0,harvest,mon_L3_00,253.8,15.69,0.10
14.0,harvest,mon_L3_01,271.9,15.99,15.99
16.0,harvest,mon_L3_00,268.8,15.66,0.10
16.0,harvest,mon_L3_01,269.4,15.98,15.98
18.0,harvest,mon_L3_00,271.5,15.71,0.10
18.0,harvest,mon_L3_01,270.1,16.00,16.00
20.0,harvest,mon_L3_00,251.5,15.74,0.10
20.0,harvest,mon_L3_01,268.7,15.98,15.98
22.0,harvest,mon_L3_00,271.5,15.71,0.10
22.0,harvest,mon_L3_01,268.6,15.94,15.94
24.0,harvest,mon_L3_00,266.5,15.70,0.10
24.0,harvest,mon_L3_01,267.4,15.96,15.96
26.0,harvest,mon_L3_00,270.4,15.73,0.10
26.0,harvest,mon_L3_01,264.5,15.98,15.97
28.0,harvest,mon_L3_00,253.4,15.76,0.10
28.0,harvest,mon_L3_01,265.7,15.94,15.94
30.0,harvest,mon_L3_00,266.7,15.72,0.10
30.0,harvest,mon_L3_01,267.4,15.97,15.97
32.0,harvest,mon_L3_00,260.5,15.73,0.10
32.0,harvest,mon_L3_01,271.6,15.93,15.93
34.0,harvest,mon_L3_00,261.1,15.80,0.10
34.0,harvest,mon_L3_01,264.1,15.97,15.97
36.0,harvest,mon_L3_00,266.2,15.79,0.10
36.0,harvest,mon_L3_01,262.1,15.99,15.99
38.0,harvest,mon_L3_00,276.2,15.71,0.10
38.0,harvest,mon_L3_01,264.8,15.93,15.93
40.0,harvest,mon_L3_00,268.4,15.72,0.10
40.0,harvest,mon_L3_01,270.2,15.94,15.94
42.0,harvest,mon_L3_00,276.0,15.74,0.10
42.0,harvest,mon_L3_01,270.9,15.97,15.97
44.0,harvest,mon_L3_00,274.2,15.76,0.10
44.0,harvest,mon_L3_01,273.4,15.99,15.99
46.0,harvest,mon_L3_00,269.2,15.72,0.10
46.0,harvest,mon_L3_01,269.9,15.99,15.99
48.0,harvest,mon_L3_00,277.5,15.73,0.10
48.0,harvest,mon_L3_01,270.7,15.94,15.94
50.0,harvest,mon_L3_00,259.7,15.75,0.10
50.0,harvest,mon_L3_01,272.5,15.96,15.95
52.0,harvest,mon_L3_00,267.3,15.74,0.10
52.0,harvest,mon_L3_01,271.2,15.94,15.95
54.0,harvest,mon_L3_00,277.1,15.75,0.10
54.0,harvest,mon_L3_01,269.4,15.95,15.95
56.0,harvest,mon_L3_00,274.3,15.74,0.10
56.0,harvest,mon_L3_01,269.5,15.97,15.97
58.0,harvest,mon_L3_00,268.2,15.72,0.11
58.0,harvest,mon_L3_01,270.0,15.94,15.94
60.0,harvest,mon_L3_00,258.6,15.80,0.10
60.0,harvest,mon_L3_01,270.9,15.97,15.97
62.0,harvest,mon_L3_00,259.9,15.79,0.10
62.0,harvest,mon_L3_01,272.8,15.95,15.95
