ts,group,domain,llc_occ_MB,mbm_total_GBps,mbm_local_GBps
2.0,harvest,mon_L3_00,289.6,124.45,0.01
2.0,harvest,mon_L3_01,288.3,94.11,94.11
4.0,harvest,mon_L3_00,292.0,126.55,0.01
4.0,harvest,mon_L3_01,291.2,95.06,95.06
6.0,harvest,mon_L3_00,280.1,126.58,0.01
6.0,harvest,mon_L3_01,279.5,94.28,94.28
8.0,harvest,mon_L3_00,277.5,125.09,0.01
8.0,harvest,mon_L3_01,280.5,94.13,94.13
10.0,harvest,mon_L3_00,279.0,125.39,0.01
10.0,harvest,mon_L3_01,279.3,93.48,93.48
12.0,harvest,mon_L3_00,270.9,125.42,0.01
12.0,harvest,mon_L3_01,277.3,93.61,93.61
14.0,harvest,mon_L3_00,276.9,125.59,0.01
14.0,harvest,mon_L3_01,280.3,93.45,93.45
16.0,harvest,mon_L3_00,269.1,124.28,0.01
16.0,harvest,mon_L3_01,277.0,93.57,93.57
18.0,harvest,mon_L3_00,281.2,125.53,0.01
18.0,harvest,mon_L3_01,281.0,94.05,94.05
20.0,harvest,mon_L3_00,280.2,125.35,0.01
20.0,harvest,mon_L3_01,282.0,94.05,94.05
22.0,harvest,mon_L3_00,281.2,125.85,0.01
22.0,harvest,mon_L3_01,283.9,93.88,93.88
24.0,harvest,mon_L3_00,276.3,125.53,0.01
24.0,harvest,mon_L3_01,276.8,93.74,93.74
26.0,harvest,mon_L3_00,281.6,125.41,0.01
26.0,harvest,mon_L3_01,282.5,93.57,93.57
28.0,harvest,mon_L3_00,280.9,125.20,0.01
28.0,harvest,mon_L3_01,275.5,94.06,94.06
30.0,harvest,mon_L3_00,280.2,125.54,0.01
30.0,harvest,mon_L3_01,274.6,93.98,93.98
32.0,harvest,mon_L3_00,280.0,125.54,0.01
32.0,harvest,mon_L3_01,278.1,94.05,94.05
34.0,harvest,mon_L3_00,278.3,125.49,0.01
34.0,harvest,mon_L3_01,280.4,94.04,94.04
36.0,harvest,mon_L3_00,281.8,125.53,0.01
36.0,harvest,mon_L3_01,278.8,94.06,94.06
38.0,harvest,mon_L3_00,279.1,125.49,0.01
38.0,harvest,mon_L3_01,275.7,94.12,94.12
40.0,harvest,mon_L3_00,282.4,125.33,0.01
40.0,harvest,mon_L3_01,278.7,94.20,94.20
42.0,harvest,mon_L3_00,283.2,125.52,0.01
42.0,harvest,mon_L3_01,277.5,94.01,94.01
44.0,harvest,mon_L3_00,279.1,125.38,0.01
44.0,harvest,mon_L3_01,280.5,93.62,93.62
46.0,harvest,mon_L3_00,272.8,125.26,0.01
46.0,harvest,mon_L3_01,282.0,93.54,93.54
48.0,harvest,mon_L3_00,276.9,125.51,0.01
48.0,harvest,mon_L3_01,280.0,93.43,93.43
50.0,harvest,mon_L3_00,280.2,125.40,0.01
50.0,harvest,mon_L3_01,277.7,93.45,93.45
52.0,harvest,mon_L3_00,277.1,125.32,0.00
52.0,harvest,mon_L3_01,285.2,93.49,93.49
54.0,harvest,mon_L3_00,270.8,125.64,0.01
54.0,harvest,mon_L3_01,279.5,93.10,93.10
56.0,harvest,mon_L3_00,273.8,125.88,0.01
56.0,harvest,mon_L3_01,280.7,93.64,93.64
58.0,harvest,mon_L3_00,274.8,125.62,0.01
58.0,harvest,mon_L3_01,282.3,93.40,93.40
60.0,harvest,mon_L3_00,275.7,126.09,0.01
60.0,harvest,mon_L3_01,285.5,93.39,93.39
62.0,harvest,mon_L3_00,273.4,126.08,0.01
62.0,harvest,mon_L3_01,284.1,93.43,93.43
64.0,harvest,mon_L3_00,282.3,125.97,0.01
64.0,harvest,mon_L3_01,281.6,93.92,93.92
66.0,harvest,mon_L3_00,277.4,126.00,0.01
66.0,harvest,mon_L3_01,283.8,93.95,93.95
68.0,harvest,mon_L3_00,281.8,125.97,0.01
68.0,harvest,mon_L3_01,281.8,93.99,93.99
70.0,harvest,mon_L3_00,281.4,126.05,0.01
70.0,harvest,mon_L3_01,280.0,94.01,94.01
72.0,harvest,mon_L3_00,278.9,125.97,0.01
72.0,harvest,mon_L3_01,284.3,93.98,93.98
74.0,harvest,mon_L3_00,277.4,126.02,0.01
74.0,harvest,mon_L3_01,279.5,93.74,93.74
76.0,harvest,mon_L3_00,270.0,126.03,0.01
76.0,harvest,mon_L3_01,277.5,93.68,93.68
78.0,harvest,mon_L3_00,278.9,126.30,0.01
78.0,harvest,mon_L3_01,281.4,93.22,93.22
80.0,harvest,mon_L3_00,278.4,126.22,0.01
80.0,harvest,mon_L3_01,277.7,93.79,93.79
82.0,harvest,mon_L3_00,280.4,125.07,0.01
82.0,harvest,mon_L3_01,278.0,94.22,94.22
84.0,harvest,mon_L3_00,281.7,125.40,0.01
84.0,harvest,mon_L3_01,277.3,94.03,94.03
86.0,harvest,mon_L3_00,274.0,125.64,0.01
86.0,harvest,mon_L3_01,272.5,93.84,93.84
88.0,harvest,mon_L3_00,278.4,126.54,0.01
88.0,harvest,mon_L3_01,282.3,92.91,92.91
90.0,harvest,mon_L3_00,278.0,126.32,0.01
90.0,harvest,mon_L3_01,284.4,93.44,93.44
92.0,harvest,mon_L3_00,275.9,125.67,0.01
92.0,harvest,mon_L3_01,281.8,94.01,94.01
94.0,harvest,mon_L3_00,281.7,125.56,0.01
94.0,harvest,mon_L3_01,280.1,94.05,94.05
96.0,harvest,mon_L3_00,280.5,125.54,0.01
96.0,harvest,mon_L3_01,280.5,94.17,94.17
98.0,harvest,mon_L3_00,276.8,125.75,0.01
98.0,harvest,mon_L3_01,279.3,93.99,93.99
100.0,harvest,mon_L3_00,279.6,125.80,0.01
100.0,harvest,mon_L3_01,282.0,93.94,93.93
102.0,harvest,mon_L3_00,274.9,125.65,0.01
102.0,harvest,mon_L3_01,279.4,93.96,93.96
104.0,harvest,mon_L3_00,277.6,125.37,0.01
104.0,harvest,mon_L3_01,280.3,94.04,94.04
106.0,harvest,mon_L3_00,268.1,126.19,0.01
106.0,harvest,mon_L3_01,276.1,93.59,93.59
108.0,harvest,mon_L3_00,270.7,126.90,0.01
108.0,harvest,mon_L3_01,275.9,93.18,93.18
110.0,harvest,mon_L3_00,281.4,125.91,0.02
110.0,harvest,mon_L3_01,283.6,93.94,93.94
112.0,harvest,mon_L3_00,279.1,125.68,0.01
112.0,harvest,mon_L3_01,278.9,94.02,94.02
114.0,harvest,mon_L3_00,279.1,125.41,0.01
114.0,harvest,mon_L3_01,282.1,94.07,94.07
116.0,harvest,mon_L3_00,276.2,126.08,0.01
116.0,harvest,mon_L3_01,282.7,93.81,93.81
118.0,harvest,mon_L3_00,271.2,126.61,0.01
118.0,harvest,mon_L3_01,281.6,93.24,93.24
120.0,harvest,mon_L3_00,269.5,127.40,0.01
120.0,harvest,mon_L3_01,279.5,93.04,93.04
122.0,harvest,mon_L3_00,270.0,126.66,0.02
122.0,harvest,mon_L3_01,283.7,93.37,93.37
124.0,harvest,mon_L3_00,276.6,126.54,0.01
124.0,harvest,mon_L3_01,281.8,93.27,93.27
126.0,harvest,mon_L3_00,278.3,126.36,0.01
126.0,harvest,mon_L3_01,282.1,93.29,93.29
128.0,harvest,mon_L3_00,266.4,125.95,0.01
128.0,harvest,mon_L3_01,279.3,93.36,93.36
130.0,harvest,mon_L3_00,271.3,127.23,0.00
130.0,harvest,mon_L3_01,281.7,92.61,92.61
132.0,harvest,mon_L3_00,272.8,126.23,0.01
132.0,harvest,mon_L3_01,278.0,93.39,93.39
134.0,harvest,mon_L3_00,274.8,126.20,0.01
134.0,harvest,mon_L3_01,280.7,93.33,93.33
136.0,harvest,mon_L3_00,270.2,126.18,0.01
136.0,harvest,mon_L3_01,277.3,93.42,93.42
138.0,harvest,mon_L3_00,280.3,126.25,0.01
138.0,harvest,mon_L3_01,282.4,93.99,93.99
140.0,harvest,mon_L3_00,270.8,126.94,0.01
140.0,harvest,mon_L3_01,274.2,93.78,93.78
142.0,harvest,mon_L3_00,268.4,126.58,0.01
142.0,harvest,mon_L3_01,282.3,93.85,93.85
144.0,harvest,mon_L3_00,277.0,127.79,0.01
144.0,harvest,mon_L3_01,284.8,93.27,93.27
146.0,harvest,mon_L3_00,277.3,126.41,0.01
146.0,harvest,mon_L3_01,277.4,93.87,93.87
148.0,harvest,mon_L3_00,278.0,125.62,0.01
148.0,harvest,mon_L3_01,278.9,94.02,94.02
150.0,harvest,mon_L3_00,274.7,126.88,0.01
