ts,group,domain,llc_occ_MB,mbm_total_GBps,mbm_local_GBps
2.0,harvest,mon_L3_00,276.6,68.28,7.60
2.0,harvest,mon_L3_01,266.8,88.44,88.43
4.0,harvest,mon_L3_00,285.2,67.21,6.99
4.0,harvest,mon_L3_01,290.4,88.40,88.39
6.0,harvest,mon_L3_00,277.3,66.85,7.04
6.0,harvest,mon_L3_01,280.0,87.92,87.92
8.0,harvest,mon_L3_00,280.4,69.23,7.45
8.0,harvest,mon_L3_01,274.6,85.43,85.43
10.0,harvest,mon_L3_00,274.9,69.21,7.42
10.0,harvest,mon_L3_01,281.5,85.80,85.80
12.0,harvest,mon_L3_00,274.1,68.93,7.32
12.0,harvest,mon_L3_01,281.2,86.06,86.06
14.0,harvest,mon_L3_00,271.4,69.12,7.39
14.0,harvest,mon_L3_01,281.6,85.78,85.78
16.0,harvest,mon_L3_00,274.2,69.16,7.47
16.0,harvest,mon_L3_01,279.3,85.92,85.92
18.0,harvest,mon_L3_00,276.1,68.88,7.44
18.0,harvest,mon_L3_01,281.0,86.09,86.09
20.0,harvest,mon_L3_00,270.4,69.25,7.42
20.0,harvest,mon_L3_01,280.8,85.90,85.90
22.0,harvest,mon_L3_00,274.0,69.08,7.48
22.0,harvest,mon_L3_01,280.4,85.85,85.85
24.0,harvest,mon_L3_00,275.6,69.05,7.54
24.0,harvest,mon_L3_01,276.0,85.61,85.61
26.0,harvest,mon_L3_00,273.8,69.19,7.30
26.0,harvest,mon_L3_01,279.1,85.66,85.66
28.0,harvest,mon_L3_00,278.0,69.25,7.37
28.0,harvest,mon_L3_01,278.3,86.01,86.00
30.0,harvest,mon_L3_00,273.8,69.11,7.42
30.0,harvest,mon_L3_01,284.1,86.02,86.02
32.0,harvest,mon_L3_00,272.0,69.23,7.65
32.0,harvest,mon_L3_01,282.5,85.88,85.88
34.0,harvest,mon_L3_00,280.3,69.29,7.59
34.0,harvest,mon_L3_01,283.6,86.03,86.03
36.0,harvest,mon_L3_00,279.7,69.42,7.57
36.0,harvest,mon_L3_01,280.2,85.92,85.92
38.0,harvest,mon_L3_00,273.0,69.38,7.56
38.0,harvest,mon_L3_01,279.1,85.92,85.92
40.0,harvest,mon_L3_00,275.9,69.23,7.47
40.0,harvest,mon_L3_01,277.9,86.04,86.04
42.0,harvest,mon_L3_00,263.7,69.64,7.58
42.0,harvest,mon_L3_01,282.4,85.89,85.89
44.0,harvest,mon_L3_00,266.6,69.29,7.54
44.0,harvest,mon_L3_01,280.9,85.74,85.74
46.0,harvest,mon_L3_00,269.9,69.39,7.55
46.0,harvest,mon_L3_01,277.7,85.58,85.58
48.0,harvest,mon_L3_00,269.3,69.14,7.58
48.0,harvest,mon_L3_01,280.7,85.41,85.41
50.0,harvest,mon_L3_00,269.4,69.40,7.50
50.0,harvest,mon_L3_01,280.0,85.70,85.70
52.0,harvest,mon_L3_00,273.3,69.25,7.47
52.0,harvest,mon_L3_01,279.3,85.61,85.61
54.0,harvest,mon_L3_00,272.3,69.25,7.57
54.0,harvest,mon_L3_01,275.7,85.60,85.59
56.0,harvest,mon_L3_00,270.8,69.26,7.47
56.0,harvest,mon_L3_01,280.7,85.45,85.45
58.0,harvest,mon_L3_00,265.7,69.18,7.50
58.0,harvest,mon_L3_01,275.3,85.26,85.26
60.0,harvest,mon_L3_00,281.5,69.16,7.55
60.0,harvest,mon_L3_01,278.8,85.84,85.84
62.0,harvest,mon_L3_00,278.2,69.12,7.55
62.0,harvest,mon_L3_01,278.7,86.03,86.03
64.0,harvest,mon_L3_00,278.9,69.20,7.57
64.0,harvest,mon_L3_01,282.1,86.02,86.02
66.0,harvest,mon_L3_00,279.7,69.15,7.56
66.0,harvest,mon_L3_01,279.4,85.96,85.96
68.0,harvest,mon_L3_00,278.0,69.14,7.43
68.0,harvest,mon_L3_01,278.4,85.97,85.97
70.0,harvest,mon_L3_00,279.0,69.16,7.55
70.0,harvest,mon_L3_01,280.5,86.07,86.07
72.0,harvest,mon_L3_00,255.0,69.13,7.52
72.0,harvest,mon_L3_01,271.9,85.55,85.55
74.0,harvest,mon_L3_00,278.0,69.27,7.61
74.0,harvest,mon_L3_01,279.0,86.09,86.09
76.0,harvest,mon_L3_00,275.6,69.31,7.56
76.0,harvest,mon_L3_01,278.4,86.03,86.03
78.0,harvest,mon_L3_00,275.5,69.08,7.61
78.0,harvest,mon_L3_01,273.4,85.85,85.85
80.0,harvest,mon_L3_00,280.3,69.26,7.47
80.0,harvest,mon_L3_01,281.1,86.04,86.04
82.0,harvest,mon_L3_00,280.1,69.20,7.55
82.0,harvest,mon_L3_01,280.8,86.09,86.09
84.0,harvest,mon_L3_00,280.1,69.09,7.50
84.0,harvest,mon_L3_01,276.7,86.18,86.18
86.0,harvest,mon_L3_00,277.7,69.28,7.56
86.0,harvest,mon_L3_01,283.0,85.90,85.90
88.0,harvest,mon_L3_00,274.7,69.12,7.67
88.0,harvest,mon_L3_01,277.5,85.81,85.81
90.0,harvest,mon_L3_00,265.9,69.15,7.61
90.0,harvest,mon_L3_01,279.4,85.86,85.85
92.0,harvest,mon_L3_00,270.8,69.47,7.45
92.0,harvest,mon_L3_01,276.2,85.78,85.78
94.0,harvest,mon_L3_00,278.9,69.17,7.61
94.0,harvest,mon_L3_01,276.0,86.02,86.02
96.0,harvest,mon_L3_00,280.1,69.25,7.43
96.0,harvest,mon_L3_01,276.9,86.14,86.14
98.0,harvest,mon_L3_00,280.0,69.08,7.38
98.0,harvest,mon_L3_01,278.3,85.84,85.83
100.0,harvest,mon_L3_00,281.6,69.18,7.55
100.0,harvest,mon_L3_01,275.2,86.13,86.13
102.0,harvest,mon_L3_00,273.9,69.22,7.56
102.0,harvest,mon_L3_01,278.4,86.00,86.00
104.0,harvest,mon_L3_00,276.2,69.13,7.51
104.0,harvest,mon_L3_01,281.5,85.68,85.68
106.0,harvest,mon_L3_00,281.4,68.99,7.56
106.0,harvest,mon_L3_01,279.6,85.86,85.86
108.0,harvest,mon_L3_00,275.5,69.09,7.59
108.0,harvest,mon_L3_01,279.0,85.69,85.69
110.0,harvest,mon_L3_00,278.6,69.14,7.55
110.0,harvest,mon_L3_01,281.5,85.79,85.79
112.0,harvest,mon_L3_00,275.7,69.10,7.68
112.0,harvest,mon_L3_01,283.9,85.99,85.98
114.0,harvest,mon_L3_00,272.3,69.39,7.43
114.0,harvest,mon_L3_01,282.3,86.04,86.04
116.0,harvest,mon_L3_00,272.2,69.19,7.56
116.0,harvest,mon_L3_01,282.5,85.91,85.91
118.0,harvest,mon_L3_00,276.1,69.32,7.46
118.0,harvest,mon_L3_01,279.0,85.78,85.78
120.0,harvest,mon_L3_00,267.7,69.33,7.63
120.0,harvest,mon_L3_01,279.3,85.44,85.44
122.0,harvest,mon_L3_00,262.1,69.14,7.58
122.0,harvest,mon_L3_01,279.6,85.08,85.08
124.0,harvest,mon_L3_00,267.8,69.22,7.61
124.0,harvest,mon_L3_01,283.7,85.57,85.57
126.0,harvest,mon_L3_00,268.5,69.33,7.57
126.0,harvest,mon_L3_01,285.2,85.51,85.51
128.0,harvest,mon_L3_00,262.7,69.14,7.59
128.0,harvest,mon_L3_01,280.9,85.35,85.35
130.0,harvest,mon_L3_00,267.4,69.25,7.43
130.0,harvest,mon_L3_01,279.1,85.33,85.33
132.0,harvest,mon_L3_00,261.4,69.23,7.50
132.0,harvest,mon_L3_01,279.5,85.32,85.32
134.0,harvest,mon_L3_00,270.4,69.34,7.57
134.0,harvest,mon_L3_01,281.4,85.41,85.41
136.0,harvest,mon_L3_00,270.5,69.41,7.51
136.0,harvest,mon_L3_01,280.1,85.35,85.35
138.0,harvest,mon_L3_00,267.3,69.41,7.44
138.0,harvest,mon_L3_01,282.3,85.31,85.31
140.0,harvest,mon_L3_00,275.4,69.17,7.58
140.0,harvest,mon_L3_01,281.8,85.82,85.82
142.0,harvest,mon_L3_00,269.9,69.28,7.54
142.0,harvest,mon_L3_01,284.2,85.77,85.77
144.0,harvest,mon_L3_00,269.5,69.09,7.44
144.0,harvest,mon_L3_01,274.1,85.85,85.85
146.0,harvest,mon_L3_00,275.2,69.11,7.51
146.0,harvest,mon_L3_01,279.1,85.77,85.77
148.0,harvest,mon_L3_00,274.0,69.26,7.45
148.0,harvest,mon_L3_01,279.5,85.80,85.80
150.0,harvest,mon_L3_00,277.1,69.20,7.52
150.0,harvest,mon_L3_01,279.0,85.79,85.79
152.0,harvest,mon_L3_00,270.4,69.07,7.60
152.0,harvest,mon_L3_01,282.8,85.93,85.93
154.0,harvest,mon_L3_00,273.3,69.13,7.56
154.0,harvest,mon_L3_01,282.4,85.78,85.78
156.0,harvest,mon_L3_00,266.8,69.11,7.57
156.0,harvest,mon_L3_01,279.5,85.70,85.70
