ts,group,domain,llc_occ_MB,mbm_total_GBps,mbm_local_GBps
2.0,harvest,mon_L3_00,285.0,14.33,0.73
2.0,harvest,mon_L3_01,280.9,13.36,13.36
4.0,harvest,mon_L3_00,279.8,12.28,0.69
4.0,harvest,mon_L3_01,283.0,10.90,10.89
6.0,harvest,mon_L3_00,268.2,12.26,0.68
6.0,harvest,mon_L3_01,258.2,10.97,10.96
8.0,harvest,mon_L3_00,271.2,12.37,0.69
8.0,harvest,mon_L3_01,252.3,11.19,11.19
10.0,harvest,mon_L3_00,268.9,12.38,0.66
10.0,harvest,mon_L3_01,262.9,11.18,11.18
12.0,harvest,mon_L3_00,267.3,12.37,0.68
12.0,harvest,mon_L3_01,255.7,11.13,11.12
14.0,harvest,mon_L3_00,262.5,12.30,0.65
14.0,harvest,mon_L3_01,255.0,11.05,11.05
16.0,harvest,mon_L3_00,274.1,12.28,0.65
16.0,harvest,mon_L3_01,260.3,11.10,11.10
18.0,harvest,mon_L3_00,274.8,12.33,0.68
18.0,harvest,mon_L3_01,257.3,11.10,11.10
20.0,harvest,mon_L3_00,272.9,12.31,0.66
20.0,harvest,mon_L3_01,263.7,11.10,11.10
22.0,harvest,mon_L3_00,270.8,12.28,0.64
22.0,harvest,mon_L3_01,259.9,11.09,11.09
24.0,harvest,mon_L3_00,262.9,12.31,0.66
24.0,harvest,mon_L3_01,251.4,11.10,11.10
26.0,harvest,mon_L3_00,275.3,12.26,0.68
26.0,harvest,mon_L3_01,258.4,11.14,11.14
28.0,harvest,mon_L3_00,260.2,12.35,0.64
28.0,harvest,mon_L3_01,257.1,11.11,11.11
30.0,harvest,mon_L3_00,265.2,12.37,0.64
30.0,harvest,mon_L3_01,257.7,11.11,11.11
32.0,harvest,mon_L3_00,253.0,12.37,0.63
32.0,harvest,mon_L3_01,255.2,11.09,11.08
34.0,harvest,mon_L3_00,269.1,12.36,0.64
34.0,harvest,mon_L3_01,254.6,11.12,11.12
36.0,harvest,mon_L3_00,272.3,12.30,0.62
36.0,harvest,mon_L3_01,260.5,11.10,11.10
38.0,harvest,mon_L3_00,263.3,12.33,0.64
38.0,harvest,mon_L3_01,261.6,11.06,11.06
40.0,harvest,mon_L3_00,264.6,12.32,0.66
40.0,harvest,mon_L3_01,264.4,11.07,11.07
42.0,harvest,mon_L3_00,268.6,12.31,0.65
42.0,harvest,mon_L3_01,264.0,11.05,11.05
44.0,harvest,mon_L3_00,269.8,12.32,0.62
44.0,harvest,mon_L3_01,259.8,11.06,11.06
46.0,harvest,mon_L3_00,267.5,12.30,0.63
46.0,harvest,mon_L3_01,262.6,11.05,11.05
48.0,harvest,mon_L3_00,266.4,12.32,0.67
48.0,harvest,mon_L3_01,243.4,11.05,11.05
50.0,harvest,mon_L3_00,256.9,12.37,0.63
50.0,harvest,mon_L3_01,265.8,11.08,11.08
52.0,harvest,mon_L3_00,255.4,12.35,0.64
52.0,harvest,mon_L3_01,259.5,11.08,11.08
54.0,harvest,mon_L3_00,258.4,12.33,0.65
54.0,harvest,mon_L3_01,254.9,11.04,11.04
56.0,harvest,mon_L3_00,261.6,12.34,0.66
56.0,harvest,mon_L3_01,255.1,11.07,11.07
58.0,harvest,mon_L3_00,261.9,12.34,0.65
58.0,harvest,mon_L3_01,250.8,11.07,11.07
60.0,harvest,mon_L3_00,261.1,12.35,0.66
60.0,harvest,mon_L3_01,266.5,11.04,11.04
62.0,harvest,mon_L3_00,258.6,12.36,0.62
62.0,harvest,mon_L3_01,262.9,11.06,11.06
64.0,harvest,mon_L3_00,255.7,12.37,0.64
64.0,harvest,mon_L3_01,261.2,11.06,11.06
66.0,harvest,mon_L3_00,271.9,12.37,0.65
66.0,harvest,mon_L3_01,264.4,11.04,11.04
68.0,harvest,mon_L3_00,273.0,12.29,0.62
68.0,harvest,mon_L3_01,256.5,11.06,11.06
70.0,harvest,mon_L3_00,270.5,12.33,0.63
70.0,harvest,mon_L3_01,261.7,11.09,11.09
72.0,harvest,mon_L3_00,270.8,12.35,0.64
72.0,harvest,mon_L3_01,258.3,11.10,11.10
74.0,harvest,mon_L3_00,270.4,12.34,0.64
74.0,harvest,mon_L3_01,264.5,11.07,11.07
76.0,harvest,mon_L3_00,272.1,12.38,0.66
76.0,harvest,mon_L3_01,260.2,11.12,11.12
78.0,harvest,mon_L3_00,270.2,12.35,0.64
78.0,harvest,mon_L3_01,264.0,11.10,11.10
80.0,harvest,mon_L3_00,271.5,12.34,0.64
80.0,harvest,mon_L3_01,255.2,11.15,11.15
82.0,harvest,mon_L3_00,264.0,12.31,0.63
82.0,harvest,mon_L3_01,261.7,11.12,11.12
84.0,harvest,mon_L3_00,266.8,12.34,0.64
84.0,harvest,mon_L3_01,253.7,11.15,11.15
86.0,harvest,mon_L3_00,263.8,12.38,0.65
86.0,harvest,mon_L3_01,263.1,11.07,11.07
88.0,harvest,mon_L3_00,267.2,12.38,0.67
88.0,harvest,mon_L3_01,262.0,11.10,11.10
90.0,harvest,mon_L3_00,266.5,12.40,0.66
90.0,harvest,mon_L3_01,254.3,11.17,11.17
92.0,harvest,mon_L3_00,248.9,12.44,0.64
92.0,harvest,mon_L3_01,264.8,11.06,11.06
94.0,harvest,mon_L3_00,259.5,12.45,0.66
94.0,harvest,mon_L3_01,260.7,11.10,11.10
96.0,harvest,mon_L3_00,257.6,12.42,0.64
96.0,harvest,mon_L3_01,260.7,11.08,11.08
98.0,harvest,mon_L3_00,265.5,12.35,0.64
98.0,harvest,mon_L3_01,263.2,11.03,11.03
100.0,harvest,mon_L3_00,270.1,12.37,0.64
100.0,harvest,mon_L3_01,254.9,11.05,11.05
102.0,harvest,mon_L3_00,273.9,12.35,0.67
102.0,harvest,mon_L3_01,258.2,11.09,11.09
