ts,group,domain,llc_occ_MB,mbm_total_GBps,mbm_local_GBps
2.0,harvest,mon_L3_00,241.8,17.68,17.69
2.0,harvest,mon_L3_01,0.0,0.00,0.00
4.0,harvest,mon_L3_00,258.5,17.60,17.60
4.0,harvest,mon_L3_01,0.0,0.00,0.00
6.0,harvest,mon_L3_00,221.5,17.62,17.62
6.0,harvest,mon_L3_01,0.0,0.00,0.00
8.0,harvest,mon_L3_00,241.4,17.87,17.87
8.0,harvest,mon_L3_01,0.0,0.00,0.00
10.0,harvest,mon_L3_00,227.9,16.84,16.84
10.0,harvest,mon_L3_01,0.0,0.00,0.00
12.0,harvest,mon_L3_00,230.6,16.47,16.47
12.0,harvest,mon_L3_01,0.0,0.00,0.00
14.0,harvest,mon_L3_00,241.3,16.44,16.44
14.0,harvest,mon_L3_01,0.0,0.00,0.00
16.0,harvest,mon_L3_00,257.7,16.37,16.37
16.0,harvest,mon_L3_01,0.0,0.00,0.00
18.0,harvest,mon_L3_00,238.6,16.35,16.35
18.0,harvest,mon_L3_01,0.0,0.00,0.00
20.0,harvest,mon_L3_00,260.2,16.36,16.36
20.0,harvest,mon_L3_01,0.0,0.00,0.00
22.0,harvest,mon_L3_00,265.9,16.31,16.31
22.0,harvest,mon_L3_01,0.0,0.00,0.00
24.0,harvest,mon_L3_00,232.7,16.34,16.34
24.0,harvest,mon_L3_01,0.0,0.00,0.00
26.0,harvest,mon_L3_00,264.8,16.20,16.20
26.0,harvest,mon_L3_01,0.0,0.00,0.00
28.0,harvest,mon_L3_00,257.5,16.34,16.33
28.0,harvest,mon_L3_01,0.0,0.00,0.00
30.0,harvest,mon_L3_00,233.8,16.33,16.33
30.0,harvest,mon_L3_01,0.0,0.00,0.00
32.0,harvest,mon_L3_00,251.1,16.53,16.53
32.0,harvest,mon_L3_01,0.0,0.00,0.00
34.0,harvest,mon_L3_00,261.0,16.34,16.33
34.0,harvest,mon_L3_01,0.0,0.00,0.00
36.0,harvest,mon_L3_00,261.4,16.25,16.25
36.0,harvest,mon_L3_01,0.0,0.00,0.00
38.0,harvest,mon_L3_00,239.4,16.28,16.28
38.0,harvest,mon_L3_01,0.0,0.00,0.00
40.0,harvest,mon_L3_00,264.8,16.24,16.24
40.0,harvest,mon_L3_01,0.0,0.00,0.00
42.0,harvest,mon_L3_00,241.2,16.37,16.37
42.0,harvest,mon_L3_01,0.0,0.00,0.00
44.0,harvest,mon_L3_00,242.7,16.35,16.35
44.0,harvest,mon_L3_01,0.0,0.00,0.00
46.0,harvest,mon_L3_00,256.9,16.22,16.22
46.0,harvest,mon_L3_01,0.0,0.00,0.00
48.0,harvest,mon_L3_00,253.7,16.22,16.22
48.0,harvest,mon_L3_01,0.0,0.00,0.00
50.0,harvest,mon_L3_00,255.2,16.20,16.20
50.0,harvest,mon_L3_01,0.0,0.00,0.00
52.0,harvest,mon_L3_00,257.3,16.21,16.21
52.0,harvest,mon_L3_01,0.0,0.00,0.00
54.0,harvest,mon_L3_00,268.8,16.17,16.17
54.0,harvest,mon_L3_01,0.0,0.00,0.00
56.0,harvest,mon_L3_00,255.4,16.24,16.24
56.0,harvest,mon_L3_01,0.0,0.00,0.00
58.0,harvest,mon_L3_00,251.6,16.23,16.23
58.0,harvest,mon_L3_01,0.0,0.00,0.00
60.0,harvest,mon_L3_00,265.7,16.27,16.27
60.0,harvest,mon_L3_01,0.0,0.00,0.00
62.0,harvest,mon_L3_00,261.1,16.22,16.22
62.0,harvest,mon_L3_01,0.0,0.00,0.00
64.0,harvest,mon_L3_00,263.7,16.26,16.26
64.0,harvest,mon_L3_01,0.0,0.00,0.00
66.0,harvest,mon_L3_00,267.0,16.16,16.16
66.0,harvest,mon_L3_01,0.0,0.00,0.00
68.0,harvest,mon_L3_00,273.9,16.22,16.22
68.0,harvest,mon_L3_01,0.0,0.00,0.00
70.0,harvest,mon_L3_00,271.8,16.24,16.24
70.0,harvest,mon_L3_01,0.0,0.00,0.00
72.0,harvest,mon_L3_00,271.9,16.24,16.24
72.0,harvest,mon_L3_01,0.0,0.00,0.00
74.0,harvest,mon_L3_00,269.4,16.30,16.30
74.0,harvest,mon_L3_01,0.0,0.00,0.00
76.0,harvest,mon_L3_00,236.2,16.40,16.40
76.0,harvest,mon_L3_01,0.0,0.00,0.00
78.0,harvest,mon_L3_00,239.9,16.33,16.33
78.0,harvest,mon_L3_01,0.0,0.00,0.00
80.0,harvest,mon_L3_00,251.8,16.32,16.32
80.0,harvest,mon_L3_01,0.0,0.00,0.00
82.0,harvest,mon_L3_00,236.0,16.32,16.32
82.0,harvest,mon_L3_01,0.0,0.00,0.00
84.0,harvest,mon_L3_00,240.1,16.31,16.31
84.0,harvest,mon_L3_01,0.0,0.00,0.00
86.0,harvest,mon_L3_00,242.9,16.37,16.37
86.0,harvest,mon_L3_01,0.0,0.00,0.00
88.0,harvest,mon_L3_00,219.5,16.33,16.33
88.0,harvest,mon_L3_01,0.0,0.00,0.00
90.0,harvest,mon_L3_00,251.2,16.31,16.31
90.0,harvest,mon_L3_01,0.0,0.00,0.00
92.0,harvest,mon_L3_00,250.4,16.25,16.25
92.0,harvest,mon_L3_01,0.0,0.00,0.00
94.0,harvest,mon_L3_00,247.5,16.33,16.33
94.0,harvest,mon_L3_01,0.0,0.00,0.00
96.0,harvest,mon_L3_00,244.8,16.29,16.29
96.0,harvest,mon_L3_01,0.0,0.00,0.00
98.0,harvest,mon_L3_00,257.1,16.28,16.28
98.0,harvest,mon_L3_01,0.0,0.00,0.00
100.0,harvest,mon_L3_00,261.7,16.25,16.25
100.0,harvest,mon_L3_01,0.0,0.00,0.00
102.0,harvest,mon_L3_00,269.3,16.30,16.31
102.0,harvest,mon_L3_01,0.0,0.00,0.00
104.0,harvest,mon_L3_00,246.0,16.27,16.27
104.0,harvest,mon_L3_01,0.0,0.00,0.00
106.0,harvest,mon_L3_00,248.0,16.29,16.29
106.0,harvest,mon_L3_01,0.0,0.00,0.00
108.0,harvest,mon_L3_00,260.9,16.27,16.27
108.0,harvest,mon_L3_01,0.0,0.00,0.00
110.0,harvest,mon_L3_00,265.4,16.19,16.19
110.0,harvest,mon_L3_01,0.0,0.00,0.00
112.0,harvest,mon_L3_00,265.9,16.30,16.30
112.0,harvest,mon_L3_01,0.0,0.00,0.00
114.0,harvest,mon_L3_00,263.4,16.27,16.27
114.0,harvest,mon_L3_01,0.0,0.00,0.00
116.0,harvest,mon_L3_00,266.1,16.24,16.24
116.0,harvest,mon_L3_01,0.0,0.00,0.00
118.0,harvest,mon_L3_00,271.3,16.24,16.24
118.0,harvest,mon_L3_01,0.0,0.00,0.00
120.0,harvest,mon_L3_00,266.6,16.32,16.32
120.0,harvest,mon_L3_01,0.0,0.00,0.00
122.0,harvest,mon_L3_00,276.1,16.22,16.22
122.0,harvest,mon_L3_01,0.0,0.00,0.00
124.0,harvest,mon_L3_00,271.5,16.30,16.30
124.0,harvest,mon_L3_01,0.0,0.00,0.00
126.0,harvest,mon_L3_00,264.0,16.25,16.25
126.0,harvest,mon_L3_01,0.0,0.00,0.00
128.0,harvest,mon_L3_00,265.7,16.26,16.26
128.0,harvest,mon_L3_01,0.0,0.00,0.00
130.0,harvest,mon_L3_00,268.2,16.24,16.24
130.0,harvest,mon_L3_01,0.0,0.00,0.00
132.0,harvest,mon_L3_00,269.5,16.19,16.19
132.0,harvest,mon_L3_01,0.0,0.00,0.00
134.0,harvest,mon_L3_00,259.7,16.18,16.18
134.0,harvest,mon_L3_01,0.0,0.00,0.00
136.0,harvest,mon_L3_00,268.6,16.13,16.13
136.0,harvest,mon_L3_01,0.0,0.00,0.00
138.0,harvest,mon_L3_00,265.7,16.18,16.18
138.0,harvest,mon_L3_01,0.0,0.00,0.00
140.0,harvest,mon_L3_00,267.4,16.20,16.20
140.0,harvest,mon_L3_01,0.0,0.00,0.00
142.0,harvest,mon_L3_00,271.6,16.22,16.22
142.0,harvest,mon_L3_01,0.0,0.00,0.00
144.0,harvest,mon_L3_00,250.2,16.20,16.20
144.0,harvest,mon_L3_01,0.0,0.00,0.00
146.0,harvest,mon_L3_00,264.8,16.20,16.20
146.0,harvest,mon_L3_01,0.0,0.00,0.00
148.0,harvest,mon_L3_00,272.7,16.18,16.18
148.0,harvest,mon_L3_01,0.0,0.00,0.00
150.0,harvest,mon_L3_00,250.5,16.16,16.16
150.0,harvest,mon_L3_01,0.0,0.00,0.00
152.0,harvest,mon_L3_00,268.5,16.23,16.23
152.0,harvest,mon_L3_01,0.0,0.00,0.00
154.0,harvest,mon_L3_00,271.9,16.22,16.22
154.0,harvest,mon_L3_01,0.0,0.00,0.00
156.0,harvest,mon_L3_00,241.1,16.19,16.19
156.0,harvest,mon_L3_01,0.0,0.00,0.00
158.0,harvest,mon_L3_00,239.8,16.23,16.23
158.0,harvest,mon_L3_01,0.0,0.00,0.00
160.0,harvest,mon_L3_00,257.6,16.26,16.26
160.0,harvest,mon_L3_01,0.0,0.00,0.00
162.0,harvest,mon_L3_00,231.9,16.30,16.30
162.0,harvest,mon_L3_01,0.0,0.00,0.00
164.0,harvest,mon_L3_00,244.1,16.37,16.36
164.0,harvest,mon_L3_01,0.0,0.00,0.00
166.0,harvest,mon_L3_00,238.7,16.41,16.41
166.0,harvest,mon_L3_01,0.0,0.00,0.00
168.0,harvest,mon_L3_00,230.2,16.35,16.34
168.0,harvest,mon_L3_01,0.0,0.00,0.00
170.0,harvest,mon_L3_00,243.3,16.32,16.32
170.0,harvest,mon_L3_01,0.0,0.00,0.00
172.0,harvest,mon_L3_00,229.0,16.27,16.27
172.0,harvest,mon_L3_01,0.0,0.00,0.00
174.1,harvest,mon_L3_00,253.8,16.30,16.30
174.1,harvest,mon_L3_01,0.0,0.00,0.00
176.1,harvest,mon_L3_00,256.3,16.26,16.26
176.1,harvest,mon_L3_01,0.0,0.00,0.00
178.1,harvest,mon_L3_00,267.5,16.24,16.24
178.1,harvest,mon_L3_01,0.0,0.00,0.00
180.1,harvest,mon_L3_00,265.9,16.25,16.25
180.1,harvest,mon_L3_01,0.0,0.00,0.00
182.1,harvest,mon_L3_00,249.0,16.25,16.25
182.1,harvest,mon_L3_01,0.0,0.00,0.00
184.1,harvest,mon_L3_00,263.1,16.25,16.25
