dir,file,cell,kv,graph_max,buckets,chunk,mixed,cpuinfer,maxtot,inlen,outlen,C,rate,np,seed,ok,tok_s,tot_tok_s,req_s,dur,tpot,tpot_p99,ttft_p50,ttft_p99
20260909_170510_final_sweep,finA_c128.log,finA_c128,,,,,,,,512,128,128,inf,384,42,384,961.91,,7.51,51.10,95.95,,5318.58,
20260909_170510_final_sweep,finA_c160.log,finA_c160,,,,,,,,512,128,160,inf,480,42,480,1012.22,,7.91,60.70,114.01,,5650.23,
20260909_170510_final_sweep,finA_c192.log,finA_c192,,,,,,,,512,128,192,inf,576,42,576,1048.66,,8.19,70.31,131.06,,6735.24,
20260909_170510_final_sweep,finA_c32.log,finA_c32,,,,,,,,512,128,32,inf,96,42,96,781.73,,6.11,15.72,36.63,,564.79,
20260909_170510_final_sweep,finA_c64.log,finA_c64,,,,,,,,512,128,64,inf,192,42,192,796.56,,6.22,30.85,57.55,,3162.65,
20260909_170510_final_sweep,finB_c192.log,finB_c192,,,,,,,,512,128,192,inf,576,42,576,1037.20,,8.10,71.08,137.00,,6367.62,
20260909_170510_final_sweep,finB_c224.log,finB_c224,,,,,,,,512,128,224,inf,672,42,672,1066.51,,8.33,80.65,153.99,,7317.66,
20260909_170510_final_sweep,finB_fuse_c192.log,finB_fuse_c192,,,,,,,,512,128,192,inf,576,42,576,1071.50,,8.37,68.81,133.05,,6018.43,
20260909_170510_final_sweep,finB_fuse_c224.log,finB_fuse_c224,,,,,,,,512,128,224,inf,672,42,672,1098.24,,8.58,78.32,149.64,,7163.39,
20260909_170510_final_sweep,lpA_c32.log,lpA_c32,,,,,,,,512,128,32,inf,96,42,96,578.01,,4.52,21.26,37.19,,2203.99,
20260909_174350_ide051_fuse_qin,off_c160.log,off_c160,,,,,,,,512,128,160,inf,480,42,480,1005.85,,7.86,61.08,114.87,,5602.21,
20260909_174350_ide051_fuse_qin,off_c192.log,off_c192,,,,,,,,512,128,192,inf,576,42,576,1034.79,,8.09,71.23,132.58,,6809.96,
20260909_174350_ide051_fuse_qin,on_c160.log,on_c160,,,,,,,,512,128,160,inf,480,42,480,1038.68,,8.11,59.15,111.82,,5223.89,
20260909_174350_ide051_fuse_qin,on_c192.log,on_c192,,,,,,,,512,128,192,inf,576,42,576,1052.20,,8.23,69.96,132.49,,6463.55,
20260909_182418_final_arrival,delay128_burst.log,delay128_burst,,,,,,,,512,128,224,inf,672,42,672,1095.48,,8.56,78.47,150.98,197.78,7109.04,12515.26
20260909_182418_final_arrival,delay128_rate5.log,delay128_rate5,,,,,,,,512,128,224,5.0,480,42,480,536.14,,4.19,114.60,199.80,283.05,668.73,1365.51
20260909_182418_final_arrival,delay128_rate7.log,delay128_rate7,,,,,,,,512,128,224,7.0,480,42,480,715.26,,5.59,85.88,231.29,270.74,812.53,2101.49
20260909_182418_final_arrival,delay128_rate9.log,delay128_rate9,,,,,,,,512,128,224,9.0,480,42,480,845.99,,6.61,72.62,196.67,244.39,904.64,4101.69
20260909_182418_final_arrival,delay224_burst.log,delay224_burst,,,,,,,,512,128,224,inf,672,42,672,1094.45,,8.55,78.59,151.90,199.07,6879.38,12456.34
20260909_182418_final_arrival,delay224_p16_burst.log,delay224_p16_burst,,,,,,,,512,128,224,inf,672,42,672,1031.61,,8.06,83.38,158.35,206.89,6642.39,12612.25
20260909_182418_final_arrival,delay224_p16_rate5.log,delay224_p16_rate5,,,,,,,,512,128,224,5.0,480,42,480,542.19,,4.24,113.32,155.94,179.55,845.23,1880.37
20260909_182418_final_arrival,delay224_p16_rate7.log,delay224_p16_rate7,,,,,,,,512,128,224,7.0,480,42,480,679.21,,5.31,90.46,228.02,266.49,1135.21,2544.18
20260909_182418_final_arrival,delay224_p16_rate9.log,delay224_p16_rate9,,,,,,,,512,128,224,9.0,480,42,480,773.39,,6.04,79.44,209.94,239.33,1328.24,3128.68
20260909_182418_final_arrival,delay224_rate5.log,delay224_rate5,,,,,,,,512,128,224,5.0,480,42,480,541.49,,4.23,113.44,171.03,194.81,734.08,1424.63
20260909_182418_final_arrival,delay224_rate7.log,delay224_rate7,,,,,,,,512,128,224,7.0,480,42,480,694.63,,5.43,88.45,225.02,262.69,965.64,1965.15
20260909_182418_final_arrival,delay224_rate9.log,delay224_rate9,,,,,,,,512,128,224,9.0,480,42,480,781.09,,6.10,78.66,210.55,238.49,1285.73,2091.57
20260909_182418_final_arrival,nodelay_burst.log,nodelay_burst,,,,,,,,512,128,224,inf,672,42,672,1110.32,,8.67,77.47,148.96,195.83,6760.36,12734.53
20260909_182418_final_arrival,nodelay_rate5.log,nodelay_rate5,,,,,,,,512,128,224,5.0,480,42,480,532.57,,4.16,115.37,299.01,360.61,615.45,1436.69
20260909_182418_final_arrival,nodelay_rate7.log,nodelay_rate7,,,,,,,,512,128,224,7.0,480,42,480,715.97,,5.60,85.70,227.19,307.88,759.88,3176.40
20260909_182418_final_arrival,nodelay_rate9.log,nodelay_rate9,,,,,,,,512,128,224,9.0,480,42,480,871.66,,6.81,70.49,179.67,278.81,1166.41,7222.30
20260909_190222_ide052_mixed_chunk,mixed_burst.log,mixed_burst,,,,,,,,512,128,224,inf,672,42,672,1096.24,,8.56,78.46,173.40,190.82,1751.83,13071.14
20260909_190222_ide052_mixed_chunk,mixed_delay225_burst.log,mixed_delay225_burst,,,,,,,,512,128,224,inf,672,42,672,1036.56,,8.10,82.98,176.50,196.83,2807.91,13612.24
20260909_190222_ide052_mixed_chunk,mixed_delay225_rate5.log,mixed_delay225_rate5,,,,,,,,512,128,224,5.0,480,42,480,545.83,,4.26,112.56,141.72,174.18,904.64,1545.56
20260909_190222_ide052_mixed_chunk,mixed_delay225_rate7.log,mixed_delay225_rate7,,,,,,,,512,128,224,7.0,480,42,480,702.56,,5.49,87.45,190.49,218.04,1183.52,2294.49
20260909_190222_ide052_mixed_chunk,mixed_delay225_rate9.log,mixed_delay225_rate9,,,,,,,,512,128,224,9.0,480,42,480,790.67,,6.18,77.71,202.52,229.26,1528.14,2644.76
20260909_190222_ide052_mixed_chunk,mixed_rate5.log,mixed_rate5,,,,,,,,512,128,224,5.0,480,42,480,543.27,,4.24,113.09,184.11,208.54,652.06,920.66
20260909_190222_ide052_mixed_chunk,mixed_rate7.log,mixed_rate7,,,,,,,,512,128,224,7.0,480,42,480,706.67,,5.52,86.94,225.10,255.26,798.79,1005.46
20260909_190222_ide052_mixed_chunk,mixed_rate9.log,mixed_rate9,,,,,,,,512,128,224,9.0,480,42,480,814.35,,6.36,75.45,203.18,228.36,889.90,1269.85
20260909_194156_probe_longctx,lc_c16.log,lc_c16,,,,,,,,2048,128,16,inf,48,42,48,111.88,,0.87,54.92,120.95,,2944.04,
20260909_194156_probe_longctx,lc_c32.log,lc_c32,,,,,,,,2048,128,32,inf,96,42,96,301.92,,2.36,40.70,66.25,,5265.67,
20260909_194156_probe_longctx,lc_c48.log,lc_c48,,,,,,,,2048,128,48,inf,144,42,144,290.26,,2.27,63.50,108.49,,7244.08,
20260910_002116_expE00_E01_E02,A00_C32.log,A00,bf16,64,auto,4096,0,96,,512,128,32,inf,96,42,96,608.93,,4.76,20.18,39.04,45.84,1822.11,2444.38
20260910_002116_expE00_E01_E02,A00_C64.log,A00,bf16,64,auto,4096,0,96,,512,128,64,inf,192,42,192,971.75,,7.59,25.29,54.42,70.98,1182.01,3785.98
20260910_002544_expE00_E01_E02,A00_C32.log,A00,bf16,64,auto,4096,0,96,,512,128,32,inf,96,42,96,605.73,,4.73,20.29,39.17,46.86,1721.81,2450.19
20260910_002544_expE00_E01_E02,A00_C64.log,A00,bf16,64,auto,4096,0,96,,512,128,64,inf,192,42,192,807.15,,6.31,30.45,59.81,74.15,2794.50,3928.31
20260910_002544_expE00_E01_E02,A01_C32.log,A01,bf16,64,"32,64",4096,0,96,,512,128,32,inf,96,42,96,599.83,,4.69,20.49,39.71,47.27,1852.96,2463.49
20260910_002544_expE00_E01_E02,A01_C64.log,A01,bf16,64,"32,64",4096,0,96,,512,128,64,inf,192,42,192,799.78,,6.25,30.73,59.84,74.82,2765.51,3962.22
20260910_002544_expE00_E01_E02,A10_C32.log,A10,fp8,64,auto,4096,0,96,,512,128,32,inf,96,42,96,589.86,,4.61,20.83,40.41,48.12,1746.19,2486.22
20260910_002544_expE00_E01_E02,A10_C64.log,A10,fp8,64,auto,4096,0,96,,512,128,64,inf,192,42,192,787.88,,6.16,31.19,61.24,77.03,2839.38,3982.84
