NAME     SIZE MODEL                      ROTA
sda      1.7T GBT3816-iMR                   0
sdb      500G VIRTUAL-DISK                  1
sdc        5G VIRTUAL-DISK                  1
sdd      200G VIRTUAL-DISK                  1
sde      100G VIRTUAL-DISK                  1
sdf       20G VIRTUAL-DISK                  1
nvme1n1  3.5T SAMSUNG MZQL23T8HCLS-00A07    0
nvme3n1  3.5T SAMSUNG MZQL23T8HCLS-00A07    0
nvme0n1  3.5T SAMSUNG MZQL23T8HCLS-00A07    0
nvme2n1  3.5T SAMSUNG MZQL23T8HCLS-00A07    0
nvme6n1  3.5T SAMSUNG MZQL23T8HCLS-00A07    0
nvme7n1  3.5T SAMSUNG MZQL23T8HCLS-00A07    0
nvme4n1  3.5T SAMSUNG MZQL23T8HCLS-00A07    0
nvme5n1  3.5T SAMSUNG MZQL23T8HCLS-00A07    0
