session,pair,n,p50_us,min_us,max_us,indeterminate_5us,order_violation_gt5us,method
S3_CORR,2:cold_present_nonempty go(CPU)−dtoh_end(GPU),15598,5.25,3.5,1484.75,0,0,순서검사 (offset 불변 가능성은 남음; 오차구간 방식)
S3_CORR,2:cold_path_empty go(CPU)−dtoh_end(GPU),18,5.25,4.0,5.75,0,0,순서검사 (offset 불변 가능성은 남음; 오차구간 방식)
S3_CORR,2:no_cold_consumed go(CPU)−dtoh_end(GPU),256,5.0,3.5,15.25,0,0,순서검사 (offset 불변 가능성은 남음; 오차구간 방식)
S3_CORR,32:cold_present_nonempty go(CPU)−dtoh_end(GPU),2220,4.5,3.25,282.0,0,0,순서검사 (offset 불변 가능성은 남음; 오차구간 방식)
S3_CORR,32:cold_path_empty go(CPU)−dtoh_end(GPU),5588,4.5,3.0,26.75,0,0,순서검사 (offset 불변 가능성은 남음; 오차구간 방식)
S3_CORR,32:no_cold_consumed go(CPU)−dtoh_end(GPU),128,4.5,3.25,10.25,0,0,순서검사 (offset 불변 가능성은 남음; 오차구간 방식)
S4_CORR,2:cold_present_nonempty go(CPU)−dtoh_end(GPU),15596,5.25,3.25,1398.0,0,0,순서검사 (offset 불변 가능성은 남음; 오차구간 방식)
S4_CORR,2:cold_path_empty go(CPU)−dtoh_end(GPU),20,4.75,4.25,8.25,0,0,순서검사 (offset 불변 가능성은 남음; 오차구간 방식)
S4_CORR,2:no_cold_consumed go(CPU)−dtoh_end(GPU),256,5.25,3.75,350.25,0,0,순서검사 (offset 불변 가능성은 남음; 오차구간 방식)
S4_CORR,32:cold_present_nonempty go(CPU)−dtoh_end(GPU),2297,4.5,3.0,278.75,0,0,순서검사 (offset 불변 가능성은 남음; 오차구간 방식)
S4_CORR,32:cold_path_empty go(CPU)−dtoh_end(GPU),5511,4.5,3.0,273.75,0,0,순서검사 (offset 불변 가능성은 남음; 오차구간 방식)
S4_CORR,32:no_cold_consumed go(CPU)−dtoh_end(GPU),128,4.5,3.25,10.25,0,0,순서검사 (offset 불변 가능성은 남음; 오차구간 방식)
