item,session,legacy_value,legacy_definition,corrected_value,corrected_definition,difference_reason,coverage
PCM System|Read MB/s,P2_r1,144783.7,"render_report.parse_pcm: 초 단위 파싱(소수초 실패→None→창 내 포함), bench 호출 창",236992.9,forward_envelope(kt_evt) 완전 포함 표본 시간가중 평균,창(클라이언트 준비 12.6~14.4 s 포함) + 파싱 실패 표본 포함,0.9932574601350935
PCM System|Write MB/s,P2_r1,16728.6,"render_report.parse_pcm: 초 단위 파싱(소수초 실패→None→창 내 포함), bench 호출 창",26535.2,forward_envelope(kt_evt) 완전 포함 표본 시간가중 평균,창(클라이언트 준비 12.6~14.4 s 포함) + 파싱 실패 표본 포함,0.9932574601350935
PCM System|Read MB/s,P2_r2,143391.1,"render_report.parse_pcm: 초 단위 파싱(소수초 실패→None→창 내 포함), bench 호출 창",250972.7,forward_envelope(kt_evt) 완전 포함 표본 시간가중 평균,창(클라이언트 준비 12.6~14.4 s 포함) + 파싱 실패 표본 포함,0.9249639538448114
PCM System|Write MB/s,P2_r2,16680.8,"render_report.parse_pcm: 초 단위 파싱(소수초 실패→None→창 내 포함), bench 호출 창",26994.0,forward_envelope(kt_evt) 완전 포함 표본 시간가중 평균,창(클라이언트 준비 12.6~14.4 s 포함) + 파싱 실패 표본 포함,0.9249639538448114
PCM System|Read MB/s,P2_r3,139422.6,"render_report.parse_pcm: 초 단위 파싱(소수초 실패→None→창 내 포함), bench 호출 창",247825.6,forward_envelope(kt_evt) 완전 포함 표본 시간가중 평균,창(클라이언트 준비 12.6~14.4 s 포함) + 파싱 실패 표본 포함,0.948221478231304
PCM System|Write MB/s,P2_r3,16056.1,"render_report.parse_pcm: 초 단위 파싱(소수초 실패→None→창 내 포함), bench 호출 창",27151.1,forward_envelope(kt_evt) 완전 포함 표본 시간가중 평균,창(클라이언트 준비 12.6~14.4 s 포함) + 파싱 실패 표본 포함,0.948221478231304
GPU busy fraction (IDE_073 D2 retry2),TP-0. trace_full,0.401,stream 합계·annotation 포함 (IDE_073 analyze_probes),0.392,kernel/memcpy/memset union / 창 (IDE_074 gpu_union),stream 중첩·annotation,1.0
GPU busy fraction (IDE_073 D2 retry2),TP-0. request_window,0.401,stream 합계·annotation 포함 (IDE_073 analyze_probes),0.421,kernel/memcpy/memset union / 창 (IDE_074 gpu_union),stream 중첩·annotation,1.0
GPU busy fraction (IDE_073 D2 retry2),TP-1. trace_full,0.775,stream 합계·annotation 포함 (IDE_073 analyze_probes),0.572,kernel/memcpy/memset union / 창 (IDE_074 gpu_union),stream 중첩·annotation,1.0
GPU busy fraction (IDE_073 D2 retry2),TP-1. request_window,0.775,stream 합계·annotation 포함 (IDE_073 analyze_probes),0.624,kernel/memcpy/memset union / 창 (IDE_074 gpu_union),stream 중첩·annotation,1.0
GPU busy fraction (IDE_073 D2 retry2),TP-2. trace_full,0.785,stream 합계·annotation 포함 (IDE_073 analyze_probes),0.579,kernel/memcpy/memset union / 창 (IDE_074 gpu_union),stream 중첩·annotation,1.0
GPU busy fraction (IDE_073 D2 retry2),TP-2. request_window,0.785,stream 합계·annotation 포함 (IDE_073 analyze_probes),0.624,kernel/memcpy/memset union / 창 (IDE_074 gpu_union),stream 중첩·annotation,1.0
GPU busy fraction (IDE_073 D2 retry2),TP-3. trace_full,0.785,stream 합계·annotation 포함 (IDE_073 analyze_probes),0.578,kernel/memcpy/memset union / 창 (IDE_074 gpu_union),stream 중첩·annotation,1.0
GPU busy fraction (IDE_073 D2 retry2),TP-3. request_window,0.785,stream 합계·annotation 포함 (IDE_073 analyze_probes),0.624,kernel/memcpy/memset union / 창 (IDE_074 gpu_union),stream 중첩·annotation,1.0
late share (cold later than hot),F1_C1_P1 graph 35,0.0036148563508064517,분모 = 유효 행 전체 (layer0·empty 포함),0.02,분모 = cold_present_nonempty; thr 5 µs: 0.017,cohort 분리,20093
cold_ready_lateness_us p50 → cold_pub_lateness_us p50,F1_C1_P1 graph 35,0.0,CPU 게시 지연 (이름이 GPU 준비를 시사),0.0,"cohort 한정, 이름 정정",cohort,20093
late share (cold later than hot),F1_LONG_P1 graph 26,0.012821320564516129,분모 = 유효 행 전체 (layer0·empty 포함),0.017,분모 = cold_present_nonempty; thr 5 µs: 0.016,cohort 분리,23760
